# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=159774877
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
0;	0.008750886944027123;	0
0.008750886944027123;	0.017501773888054246;	162750
0.017501773888054246;	0.02625266083208137;	428954
0.02625266083208137;	0.03500354777610849;	639810
0.03500354777610849;	0.04375443472013561;	780514
0.04375443472013561;	0.05250532166416274;	821506
0.05250532166416274;	0.061256208608189866;	726104
0.061256208608189866;	0.07000709555221699;	612930
0.07000709555221699;	0.0787579824962441;	531986
0.0787579824962441;	0.08750886944027123;	487204
0.08750886944027123;	0.09625975638429836;	477184
0.09625975638429836;	0.10501064332832548;	483122
0.10501064332832548;	0.1137615302723526;	492483
0.1137615302723526;	0.12251241721637973;	500022
0.12251241721637973;	0.13126330416040685;	509873
0.13126330416040685;	0.14001419110443397;	517919
0.14001419110443397;	0.1487650780484611;	527353
0.1487650780484611;	0.1575159649924882;	533873
0.1575159649924882;	0.16626685193651533;	542181
0.16626685193651533;	0.17501773888054245;	546565
0.17501773888054245;	0.1837686258245696;	551409
0.1837686258245696;	0.19251951276859672;	557628
0.19251951276859672;	0.20127039971262384;	560789
0.20127039971262384;	0.21002128665665096;	564757
0.21002128665665096;	0.21877217360067808;	567811
0.21877217360067808;	0.2275230605447052;	570173
0.2275230605447052;	0.23627394748873232;	572035
0.23627394748873232;	0.24502483443275946;	573868
0.24502483443275946;	0.25377572137678656;	573822
0.25377572137678656;	0.2625266083208137;	576829
0.2625266083208137;	0.2712774952648408;	577118
0.2712774952648408;	0.28002838220886794;	576454
0.28002838220886794;	0.2887792691528951;	576654
0.2887792691528951;	0.2975301560969222;	574954
0.2975301560969222;	0.30628104304094933;	574969
0.30628104304094933;	0.3150319299849764;	575516
0.3150319299849764;	0.32378281692900357;	573066
0.32378281692900357;	0.33253370387303066;	571277
0.33253370387303066;	0.3412845908170578;	569230
0.3412845908170578;	0.3500354777610849;	566417
0.3500354777610849;	0.35878636470511205;	566864
0.35878636470511205;	0.3675372516491392;	562329
0.3675372516491392;	0.3762881385931663;	561061
0.3762881385931663;	0.38503902553719344;	559202
0.38503902553719344;	0.3937899124812205;	556216
0.3937899124812205;	0.4025407994252477;	554022
0.4025407994252477;	0.41129168636927477;	551607
0.41129168636927477;	0.4200425733133019;	547619
0.4200425733133019;	0.42879346025732906;	544738
0.42879346025732906;	0.43754434720135615;	543382
0.43754434720135615;	0.4462952341453833;	539849
0.4462952341453833;	0.4550461210894104;	537260
0.4550461210894104;	0.46379700803343754;	533846
0.46379700803343754;	0.47254789497746463;	531403
0.47254789497746463;	0.4812987819214918;	528166
0.4812987819214918;	0.49004966886551893;	525101
0.49004966886551893;	0.498800555809546;	522619
0.498800555809546;	0.5075514427535731;	518821
0.5075514427535731;	0.5163023296976003;	516400
0.5163023296976003;	0.5250532166416274;	512881
0.5250532166416274;	0.5338041035856546;	509634
0.5338041035856546;	0.5425549905296816;	508064
0.5425549905296816;	0.5513058774737087;	504660
0.5513058774737087;	0.5600567644177359;	503627
0.5600567644177359;	0.568807651361763;	498915
0.568807651361763;	0.5775585383057902;	495586
0.5775585383057902;	0.5863094252498172;	493002
0.5863094252498172;	0.5950603121938444;	490047
0.5950603121938444;	0.6038111991378715;	486118
0.6038111991378715;	0.6125620860818987;	485232
0.6125620860818987;	0.6213129730259257;	480085
0.6213129730259257;	0.6300638599699528;	478168
0.6300638599699528;	0.63881474691398;	475560
0.63881474691398;	0.6475656338580071;	472470
0.6475656338580071;	0.6563165208020343;	470188
0.6563165208020343;	0.6650674077460613;	468207
0.6650674077460613;	0.6738182946900885;	464712
0.6738182946900885;	0.6825691816341156;	462234
0.6825691816341156;	0.6913200685781428;	460154
0.6913200685781428;	0.7000709555221698;	455247
0.7000709555221698;	0.708821842466197;	453989
0.708821842466197;	0.7175727294102241;	451342
0.7175727294102241;	0.7263236163542512;	448817
0.7263236163542512;	0.7350745032982784;	446099
0.7350745032982784;	0.7438253902423054;	443365
0.7438253902423054;	0.7525762771863326;	441587
0.7525762771863326;	0.7613271641303597;	440198
0.7613271641303597;	0.7700780510743869;	435828
0.7700780510743869;	0.778828938018414;	434879
0.778828938018414;	0.787579824962441;	432138
0.787579824962441;	0.7963307119064682;	429761
