# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=49078
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	1.423903650674792;	0.8350880576538741;
-2212;	0.938;	-1;	1.3226373734898014;	0.8156951000674145;
-2212;	0.938;	-1;	1.4315733745861579;	0.8364416796893202;
-2212;	0.938;	-1;	0.578512161566227;	0.5249405238723673;
-2212;	0.938;	-1;	1.2096753054621725;	0.7902563530558051;
-2212;	0.938;	-1;	1.0484431296455712;	0.7452698167356612;
-2212;	0.938;	-1;	2.004903940295644;	0.9057709877614666;
-2212;	0.938;	-1;	1.3345904521271685;	0.8181398772163254;
-2212;	0.938;	-1;	1.1736027659774781;	0.7811551686774016;
-2212;	0.938;	-1;	1.2978628996726271;	0.8104851654891635;
-2212;	0.938;	-1;	2.5945249436135702;	0.9404278291806456;
-2212;	0.938;	-1;	0.738367802942409;	0.6185297495116076;
-2212;	0.938;	-1;	1.3410913008147507;	0.8194511507167241;
-2212;	0.938;	-1;	0.7247160738217139;	0.6113935636732362;
-2212;	0.938;	-1;	1.7129009012531928;	0.8770999696118645;
-2212;	0.938;	-1;	1.2018944299221956;	0.7883361263041672;
-2212;	0.938;	-1;	1.0217693326255197;	0.7366590325743906;
-2212;	0.938;	-1;	2.267873657017295;	0.9240787907701612;
-2212;	0.938;	-1;	1.045151864586195;	0.7442269928377997;
-2212;	0.938;	-1;	2.5872030482722073;	0.9401198934055706;
-2212;	0.938;	-1;	0.49279398544726577;	0.46508837940659986;
-2212;	0.938;	-1;	2.751767833023573;	0.94652097345711;
-2212;	0.938;	-1;	1.0284982289245812;	0.7388658424035587;
-2212;	0.938;	-1;	1.547910045026519;	0.8552290055767559;
-2212;	0.938;	-1;	0.76884233439373;	0.6339229616889087;
-2212;	0.938;	-1;	0.8637708839989687;	0.6774008701462173;
-2212;	0.938;	-1;	3.6512921635011626;	0.9685507250267732;
-2212;	0.938;	-1;	1.316052108704287;	0.8143292559324192;
-2212;	0.938;	-1;	0.9150315752562859;	0.6982885155616834;
-2212;	0.938;	-1;	1.8792467495781389;	0.8947361420131442;
-2212;	0.938;	-1;	1.6269255469565902;	0.8663263567820774;
-2212;	0.938;	-1;	1.0250021917557834;	0.7377222338438029;
-2212;	0.938;	-1;	2.513177304904093;	0.9368723974768354;
-2212;	0.938;	-1;	1.0555680495339939;	0.7475087218475203;
-2212;	0.938;	-1;	2.752996995814561;	0.9465649589840479;
-2212;	0.938;	-1;	0.8355461319131338;	0.6651498562925013;
-2212;	0.938;	-1;	0.9235162344788531;	0.7015838103158295;
-2212;	0.938;	-1;	0.5204928672873914;	0.485202469699197;
-2212;	0.938;	-1;	0.68451349720221;	0.5894842482942549;
-2212;	0.938;	-1;	1.5297604609864939;	0.8525007102322627;
-2212;	0.938;	-1;	2.1606458224986804;	0.9172889947955232;
-2212;	0.938;	-1;	1.4708300946231552;	0.8431373299555713;
-2212;	0.938;	-1;	1.169624076293319;	0.7801196857064732;
-2212;	0.938;	-1;	0.5933657245240914;	0.534601274345441;
-2212;	0.938;	-1;	0.5353307134566445;	0.49567170531993204;
-2212;	0.938;	-1;	1.926635953371835;	0.8991033022684599;
-2212;	0.938;	-1;	0.5979588142899142;	0.5375469928721168;
-2212;	0.938;	-1;	0.8996702019416282;	0.6922075181427876;
-2212;	0.938;	-1;	1.4692891860927175;	0.8428816625925911;
-2212;	0.938;	-1;	1.6781639070561611;	0.8728986194341478;
-2212;	0.938;	-1;	0.5971048310717391;	0.5370007832881776;
-2212;	0.938;	-1;	1.0753008319451818;	0.7535789113468261;
-2212;	0.938;	-1;	1.1916258958825963;	0.7857662315125415;
-2212;	0.938;	-1;	1.734662635114102;	0.8796334217645982;
-2212;	0.938;	-1;	0.9237464254221718;	0.7016725911172056;
-2212;	0.938;	-1;	1.850943784737127;	0.8919991522121486;
-2212;	0.938;	-1;	0.5381733196411821;	0.4976531771837775;
-2212;	0.938;	-1;	1.613836913197861;	0.86457172432429;
-2212;	0.938;	-1;	1.5761500929770014;	0.8593371116912578;
-2212;	0.938;	-1;	1.1622590126860708;	0.7781858169378566;
-2212;	0.938;	-1;	1.9977804943359017;	0.9051905280528284;
-2212;	0.938;	-1;	1.8508390466212885;	0.8919888375881138;
-2212;	0.938;	-1;	0.6277700441079201;	0.5561939144021999;
-2212;	0.938;	-1;	1.142371471921021;	0.7728511938028898;
-2212;	0.938;	-1;	4.408710301076722;	0.9781069887885113;
-2212;	0.938;	-1;	2.1688435770218653;	0.917838272720574;
-2212;	0.938;	-1;	1.467010705822558;	0.8425025685326989;
-2212;	0.938;	-1;	2.29997627663287;	0.9259554784139582;
-2212;	0.938;	-1;	0.9494627963148425;	0.711388009730974;
-2212;	0.938;	-1;	1.148177253609825;	0.7744257443686886;
-2212;	0.938;	-1;	0.9625009412921164;	0.7161631734639815;
-2212;	0.938;	-1;	1.4263665403300092;	0.8355243928734809;
-2212;	0.938;	-1;	1.3794493519245279;	0.826933626541533;
-2212;	0.938;	-1;	1.5525845583806024;	0.8559203822994161;
-2212;	0.938;	-1;	1.7925686562376795;	0.8860274150372943;
-2212;	0.938;	-1;	1.166853376966018;	0.7793947832830331;
-2212;	0.938;	-1;	1.3259617029537467;	0.8163794563590222;
-2212;	0.938;	-1;	3.9604638674365016;	0.9730805409637839;
-2212;	0.938;	-1;	0.9593283565626317;	0.7150103755463507;
-2212;	0.938;	-1;	0.967501282106644;	0.7179682814733853;
-2212;	0.938;	-1;	0.7117034908506491;	0.6044497031538344;
-2212;	0.938;	-1;	1.3436823950249555;	0.8199702355486399;
-2212;	0.938;	-1;	2.4159518665437045;	0.932204843797728;
-2212;	0.938;	-1;	1.885902502362463;	0.89536549158832;
-2212;	0.938;	-1;	0.9400937364821659;	0.7078946380829915;
-2212;	0.938;	-1;	1.3060937412134703;	0.81223779241261;
-2212;	0.938;	-1;	1.2558458465866742;	0.8011879199858073;
-2212;	0.938;	-1;	3.998703168466622;	0.973572805580758;
-2212;	0.938;	-1;	2.3929924779831633;	0.9310298410664449;
-2212;	0.938;	-1;	0.7698495097117617;	0.6344192858429455;
