# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=164407828
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
0;	0.008750886944027123;	0
0.008750886944027123;	0.017501773888054246;	102947
0.017501773888054246;	0.02625266083208137;	303259
0.02625266083208137;	0.03500354777610849;	482607
0.03500354777610849;	0.04375443472013561;	618048
0.04375443472013561;	0.05250532166416274;	684994
0.05250532166416274;	0.061256208608189866;	636781
0.061256208608189866;	0.07000709555221699;	570882
0.07000709555221699;	0.0787579824962441;	518998
0.0787579824962441;	0.08750886944027123;	492335
0.08750886944027123;	0.09625975638429836;	488570
0.09625975638429836;	0.10501064332832548;	495741
0.10501064332832548;	0.1137615302723526;	505673
0.1137615302723526;	0.12251241721637973;	514109
0.12251241721637973;	0.13126330416040685;	526938
0.13126330416040685;	0.14001419110443397;	534532
0.14001419110443397;	0.1487650780484611;	544098
0.1487650780484611;	0.1575159649924882;	551963
0.1575159649924882;	0.16626685193651533;	559450
0.16626685193651533;	0.17501773888054245;	564169
0.17501773888054245;	0.1837686258245696;	571669
0.1837686258245696;	0.19251951276859672;	576149
0.19251951276859672;	0.20127039971262384;	582650
0.20127039971262384;	0.21002128665665096;	583449
0.21002128665665096;	0.21877217360067808;	588743
0.21877217360067808;	0.2275230605447052;	592158
0.2275230605447052;	0.23627394748873232;	592060
0.23627394748873232;	0.24502483443275946;	593491
0.24502483443275946;	0.25377572137678656;	596653
0.25377572137678656;	0.2625266083208137;	596985
0.2625266083208137;	0.2712774952648408;	596921
0.2712774952648408;	0.28002838220886794;	598686
0.28002838220886794;	0.2887792691528951;	597678
0.2887792691528951;	0.2975301560969222;	598157
0.2975301560969222;	0.30628104304094933;	596885
0.30628104304094933;	0.3150319299849764;	595532
0.3150319299849764;	0.32378281692900357;	594338
0.32378281692900357;	0.33253370387303066;	591412
0.33253370387303066;	0.3412845908170578;	591844
0.3412845908170578;	0.3500354777610849;	589019
0.3500354777610849;	0.35878636470511205;	586993
0.35878636470511205;	0.3675372516491392;	584378
0.3675372516491392;	0.3762881385931663;	582226
0.3762881385931663;	0.38503902553719344;	580161
0.38503902553719344;	0.3937899124812205;	577600
0.3937899124812205;	0.4025407994252477;	575468
0.4025407994252477;	0.41129168636927477;	573281
0.41129168636927477;	0.4200425733133019;	570900
0.4200425733133019;	0.42879346025732906;	567911
0.42879346025732906;	0.43754434720135615;	564204
0.43754434720135615;	0.4462952341453833;	560896
0.4462952341453833;	0.4550461210894104;	559127
0.4550461210894104;	0.46379700803343754;	554748
0.46379700803343754;	0.47254789497746463;	552095
0.47254789497746463;	0.4812987819214918;	549623
0.4812987819214918;	0.49004966886551893;	546389
0.49004966886551893;	0.498800555809546;	543531
0.498800555809546;	0.5075514427535731;	539952
0.5075514427535731;	0.5163023296976003;	536441
0.5163023296976003;	0.5250532166416274;	534021
0.5250532166416274;	0.5338041035856546;	530553
0.5338041035856546;	0.5425549905296816;	527648
0.5425549905296816;	0.5513058774737087;	524864
0.5513058774737087;	0.5600567644177359;	520649
0.5600567644177359;	0.568807651361763;	518868
0.568807651361763;	0.5775585383057902;	516019
0.5775585383057902;	0.5863094252498172;	514138
0.5863094252498172;	0.5950603121938444;	509271
0.5950603121938444;	0.6038111991378715;	507570
0.6038111991378715;	0.6125620860818987;	503977
0.6125620860818987;	0.6213129730259257;	501504
0.6213129730259257;	0.6300638599699528;	498599
0.6300638599699528;	0.63881474691398;	495061
0.63881474691398;	0.6475656338580071;	493147
0.6475656338580071;	0.6563165208020343;	491200
0.6563165208020343;	0.6650674077460613;	487808
0.6650674077460613;	0.6738182946900885;	484601
0.6738182946900885;	0.6825691816341156;	480749
0.6825691816341156;	0.6913200685781428;	479155
0.6913200685781428;	0.7000709555221698;	476014
0.7000709555221698;	0.708821842466197;	474455
0.708821842466197;	0.7175727294102241;	472466
0.7175727294102241;	0.7263236163542512;	467873
0.7263236163542512;	0.7350745032982784;	464600
0.7350745032982784;	0.7438253902423054;	464641
0.7438253902423054;	0.7525762771863326;	460125
0.7525762771863326;	0.7613271641303597;	459552
0.7613271641303597;	0.7700780510743869;	456761
0.7700780510743869;	0.778828938018414;	454260
0.778828938018414;	0.787579824962441;	451124
0.787579824962441;	0.7963307119064682;	449771
