# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=49248
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	1.5133736735839565;	0.8499760492857652;
-2212;	0.938;	-1;	2.7336838457372865;	0.9458676879299329;
-2212;	0.938;	-1;	2.3449405303226776;	0.9284734430052515;
-2212;	0.938;	-1;	1.2068017899593122;	0.7895498993435027;
-2212;	0.938;	-1;	2.2653292947507655;	0.9239271278284228;
-2212;	0.938;	-1;	2.468283385438147;	0.9347770018383226;
-2212;	0.938;	-1;	1.1694588060825402;	0.780076533690211;
-2212;	0.938;	-1;	0.8460761169853454;	0.6697848781353255;
-2212;	0.938;	-1;	0.8936070198493296;	0.6897659417444605;
-2212;	0.938;	-1;	2.3196352019283117;	0.9270718531086428;
-2212;	0.938;	-1;	3.562724699092536;	0.9670450791129364;
-2212;	0.938;	-1;	2.10614926537532;	0.9135000152722162;
-2212;	0.938;	-1;	2.465297693779039;	0.9346340865867132;
-2212;	0.938;	-1;	1.7679514094029847;	0.8833690179791092;
-2212;	0.938;	-1;	0.5449549249323288;	0.5023490501738856;
-2212;	0.938;	-1;	0.7642710200400118;	0.6316603961078225;
-2212;	0.938;	-1;	1.8422804237498698;	0.8911412530010111;
-2212;	0.938;	-1;	0.8502080013255581;	0.6715825270856955;
-2212;	0.938;	-1;	1.0563626709184684;	0.7477568534191035;
-2212;	0.938;	-1;	1.027381978983961;	0.7385013912745572;
-2212;	0.938;	-1;	2.326134564158155;	0.9274355928718224;
-2212;	0.938;	-1;	1.4845732311576953;	0.8453925282372337;
-2212;	0.938;	-1;	1.750458204637003;	0.8814266140834274;
-2212;	0.938;	-1;	1.5049023781245747;	0.8486475039820173;
-2212;	0.938;	-1;	1.0950235717252848;	0.7594593168581805;
-2212;	0.938;	-1;	3.4261959123400985;	0.9645073275369501;
-2212;	0.938;	-1;	1.1814551635862827;	0.7831800559502214;
-2212;	0.938;	-1;	1.5694991391670148;	0.858384270530128;
-2212;	0.938;	-1;	1.477678623449849;	0.8442667547074872;
-2212;	0.938;	-1;	2.6373563981681856;	0.9421838698193596;
-2212;	0.938;	-1;	0.9086886453307315;	0.6957956682418563;
-2212;	0.938;	-1;	1.001160275528474;	0.7297509332081791;
-2212;	0.938;	-1;	1.0340954322890126;	0.7406835718199302;
-2212;	0.938;	-1;	1.4397032910158953;	0.8378599993142654;
-2212;	0.938;	-1;	1.8114002399462694;	0.8880037282574105;
-2212;	0.938;	-1;	1.1000831011814516;	0.7609385084418571;
-2212;	0.938;	-1;	0.9439155881126235;	0.7093259867452594;
-2212;	0.938;	-1;	0.9621759219789279;	0.7160453423070186;
-2212;	0.938;	-1;	1.2174793462617752;	0.792159192767059;
-2212;	0.938;	-1;	1.2334908599053338;	0.795992129241922;
-2212;	0.938;	-1;	1.6873973773006168;	0.8740347632885793;
-2212;	0.938;	-1;	2.0993300128064667;	0.913008470293517;
-2212;	0.938;	-1;	1.159583171025537;	0.7774776821090383;
-2212;	0.938;	-1;	0.7867245656443176;	0.642619401135487;
-2212;	0.938;	-1;	1.0577699435137113;	0.7481955263598885;
-2212;	0.938;	-1;	3.137222011538393;	0.9580920389915317;
-2212;	0.938;	-1;	0.8646398157036257;	0.6777693656563987;
-2212;	0.938;	-1;	1.4505327496644673;	0.8397232696445884;
-2212;	0.938;	-1;	1.3125069185623366;	0.8135883029843102;
-2212;	0.938;	-1;	1.46275215872363;	0.841790659490106;
-2212;	0.938;	-1;	1.1463826722854153;	0.7739405763091071;
-2212;	0.938;	-1;	2.883420618344816;	0.9509479159007374;
-2212;	0.938;	-1;	1.0824232643190002;	0.7557236923302921;
-2212;	0.938;	-1;	1.2486407711511747;	0.7995327561580711;
-2212;	0.938;	-1;	3.091824918125378;	0.9569312936697909;
-2212;	0.938;	-1;	1.9010692014235042;	0.8967798309442361;
-2212;	0.938;	-1;	0.8979023171721074;	0.6914980513875627;
-2212;	0.938;	-1;	1.4422475107102803;	0.8383003999564053;
-2212;	0.938;	-1;	1.6665775826267435;	0.8714525960635197;
-2212;	0.938;	-1;	1.305770840154581;	0.812169447225233;
-2212;	0.938;	-1;	1.0982721634098718;	0.7604104249902888;
-2212;	0.938;	-1;	2.2050612316849616;	0.9202033326545186;
-2212;	0.938;	-1;	1.1723685205339658;	0.7808346348126557;
-2212;	0.938;	-1;	1.0072051246419471;	0.7318007338618383;
-2212;	0.938;	-1;	0.5815360057841991;	0.526923964553861;
-2212;	0.938;	-1;	1.459096279625851;	0.8411759750636266;
-2212;	0.938;	-1;	0.821146144391484;	0.6586845639920313;
-2212;	0.938;	-1;	0.6674293367046432;	0.5797586315023886;
-2212;	0.938;	-1;	1.8986286086341373;	0.8965540758032889;
-2212;	0.938;	-1;	0.34674848871912906;	0.3467348771408536;
-2212;	0.938;	-1;	1.476385223970018;	0.8440543109391193;
-2212;	0.938;	-1;	2.3891851481978117;	0.9308321477163463;
-2212;	0.938;	-1;	0.7765703263922721;	0.6377112195575317;
