# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=163565326
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
0;	0.008750886944027123;	0
0.008750886944027123;	0.017501773888054246;	5544680
0.017501773888054246;	0.02625266083208137;	4526431
0.02625266083208137;	0.03500354777610849;	5210431
0.03500354777610849;	0.04375443472013561;	5462253
0.04375443472013561;	0.05250532166416274;	5470540
0.05250532166416274;	0.061256208608189866;	5363047
0.061256208608189866;	0.07000709555221699;	5189320
0.07000709555221699;	0.0787579824962441;	4976861
0.0787579824962441;	0.08750886944027123;	4753816
0.08750886944027123;	0.09625975638429836;	4517511
0.09625975638429836;	0.10501064332832548;	4287181
0.10501064332832548;	0.1137615302723526;	4061422
0.1137615302723526;	0.12251241721637973;	3842680
0.12251241721637973;	0.13126330416040685;	3638169
0.13126330416040685;	0.14001419110443397;	3445347
0.14001419110443397;	0.1487650780484611;	3262190
0.1487650780484611;	0.1575159649924882;	3091354
0.1575159649924882;	0.16626685193651533;	2930923
0.16626685193651533;	0.17501773888054245;	2777469
0.17501773888054245;	0.1837686258245696;	2636707
0.1837686258245696;	0.19251951276859672;	2504962
0.19251951276859672;	0.20127039971262384;	2386371
0.20127039971262384;	0.21002128665665096;	2271431
0.21002128665665096;	0.21877217360067808;	2162285
0.21877217360067808;	0.2275230605447052;	2062774
0.2275230605447052;	0.23627394748873232;	1967326
0.23627394748873232;	0.24502483443275946;	1877936
0.24502483443275946;	0.25377572137678656;	1795161
0.25377572137678656;	0.2625266083208137;	1720335
0.2625266083208137;	0.2712774952648408;	1643945
0.2712774952648408;	0.28002838220886794;	1571121
0.28002838220886794;	0.2887792691528951;	1506640
0.2887792691528951;	0.2975301560969222;	1448962
0.2975301560969222;	0.30628104304094933;	1388721
0.30628104304094933;	0.3150319299849764;	1336176
0.3150319299849764;	0.32378281692900357;	1281801
0.32378281692900357;	0.33253370387303066;	1234871
0.33253370387303066;	0.3412845908170578;	1189006
0.3412845908170578;	0.3500354777610849;	1144531
0.3500354777610849;	0.35878636470511205;	1100581
0.35878636470511205;	0.3675372516491392;	1059234
0.3675372516491392;	0.3762881385931663;	1021597
0.3762881385931663;	0.38503902553719344;	985973
0.38503902553719344;	0.3937899124812205;	955672
0.3937899124812205;	0.4025407994252477;	921194
0.4025407994252477;	0.41129168636927477;	890545
0.41129168636927477;	0.4200425733133019;	860227
0.4200425733133019;	0.42879346025732906;	832800
0.42879346025732906;	0.43754434720135615;	807337
0.43754434720135615;	0.4462952341453833;	781571
0.4462952341453833;	0.4550461210894104;	756455
0.4550461210894104;	0.46379700803343754;	732268
0.46379700803343754;	0.47254789497746463;	712105
0.47254789497746463;	0.4812987819214918;	688702
0.4812987819214918;	0.49004966886551893;	668100
0.49004966886551893;	0.498800555809546;	647934
0.498800555809546;	0.5075514427535731;	629268
0.5075514427535731;	0.5163023296976003;	611524
0.5163023296976003;	0.5250532166416274;	593649
0.5250532166416274;	0.5338041035856546;	577599
0.5338041035856546;	0.5425549905296816;	561336
0.5425549905296816;	0.5513058774737087;	545141
0.5513058774737087;	0.5600567644177359;	530403
0.5600567644177359;	0.568807651361763;	517869
0.568807651361763;	0.5775585383057902;	501634
0.5775585383057902;	0.5863094252498172;	488335
0.5863094252498172;	0.5950603121938444;	478210
0.5950603121938444;	0.6038111991378715;	463653
0.6038111991378715;	0.6125620860818987;	451906
0.6125620860818987;	0.6213129730259257;	440484
0.6213129730259257;	0.6300638599699528;	430648
0.6300638599699528;	0.63881474691398;	418840
0.63881474691398;	0.6475656338580071;	408663
0.6475656338580071;	0.6563165208020343;	397787
0.6563165208020343;	0.6650674077460613;	389212
0.6650674077460613;	0.6738182946900885;	380014
0.6738182946900885;	0.6825691816341156;	369884
0.6825691816341156;	0.6913200685781428;	361745
0.6913200685781428;	0.7000709555221698;	354345
0.7000709555221698;	0.708821842466197;	344075
0.708821842466197;	0.7175727294102241;	337478
0.7175727294102241;	0.7263236163542512;	329535
0.7263236163542512;	0.7350745032982784;	321673
0.7350745032982784;	0.7438253902423054;	314627
0.7438253902423054;	0.7525762771863326;	307513
0.7525762771863326;	0.7613271641303597;	300306
0.7613271641303597;	0.7700780510743869;	295017
0.7700780510743869;	0.778828938018414;	288878
