# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=46939
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	8.210514630514606;	0.9935373750330616;
-2212;	0.938;	-1;	12.264717284336562;	0.9970882069464805;
-2212;	0.938;	-1;	7.208721452100643;	0.9916403774403132;
-2212;	0.938;	-1;	8.352506427928445;	0.9937531982772289;
-2212;	0.938;	-1;	1.4589019083427952;	0.8411432026886491;
-2212;	0.938;	-1;	6.8754125393422765;	0.9908216050091921;
-2212;	0.938;	-1;	3.2823358518603927;	0.9615092631072228;
-2212;	0.938;	-1;	1.8351459857343775;	0.8904275058806869;
-2212;	0.938;	-1;	1.9516630714854448;	0.9013064396534425;
-2212;	0.938;	-1;	12.105910749310892;	0.997011655839375;
-2212;	0.938;	-1;	5.416070487186606;	0.9853320597338469;
-2212;	0.938;	-1;	18.59966028697352;	0.9987307761663218;
-2212;	0.938;	-1;	15.757334934248874;	0.9982329135107813;
-2212;	0.938;	-1;	3.2587869929539734;	0.9609832170498075;
-2212;	0.938;	-1;	16.237004921853195;	0.998335520422386;
-2212;	0.938;	-1;	2.357556823428375;	0.929157726981879;
-2212;	0.938;	-1;	5.822807747198021;	0.9872720881295105;
-2212;	0.938;	-1;	8.168240913663848;	0.9934709643017766;
-2212;	0.938;	-1;	3.234743519045985;	0.9604351447102659;
-2212;	0.938;	-1;	7.022225700443485;	0.9911963771805329;
-2212;	0.938;	-1;	7.894777019913988;	0.993015627359575;
-2212;	0.938;	-1;	2.0656755170152836;	0.910523066520252;
-2212;	0.938;	-1;	9.090365033564549;	0.9947184454536372;
-2212;	0.938;	-1;	9.374217066083546;	0.9950311108043777;
-2212;	0.938;	-1;	19.020834186944196;	0.9987862609600865;
-2212;	0.938;	-1;	1.939506927552722;	0.9002449664177391;
-2212;	0.938;	-1;	4.632921829309555;	0.9801134984491044;
-2212;	0.938;	-1;	9.10088312686527;	0.9947305501505295;
-2212;	0.938;	-1;	20.959338131937013;	0.9990000718891703;
-2212;	0.938;	-1;	6.19981794497403;	0.9887477564801415;
-2212;	0.938;	-1;	10.972857357838569;	0.9963661754221572;
-2212;	0.938;	-1;	7.141855314428533;	0.9914851125399151;
-2212;	0.938;	-1;	1.1387177477337789;	0.7718529137562882;
-2212;	0.938;	-1;	9.2132420317936;	0.9948573085355629;
-2212;	0.938;	-1;	3.310120766595835;	0.9621166285633059;
-2212;	0.938;	-1;	6.768464505230489;	0.990533397474465;
-2212;	0.938;	-1;	3.282474231033657;	0.9615123233958395;
-2212;	0.938;	-1;	6.630268946306025;	0.9901405356308928;
-2212;	0.938;	-1;	20.484914159648557;	0.9989532930711833;
-2212;	0.938;	-1;	8.100597325840175;	0.9933625561008208;
-2212;	0.938;	-1;	8.109408427953607;	0.9933768289068807;
-2212;	0.938;	-1;	6.6363272974754555;	0.9901582642103444;
-2212;	0.938;	-1;	8.698333096937425;	0.9942358414221264;
-2212;	0.938;	-1;	5.214896351983326;	0.9842057358411502;
-2212;	0.938;	-1;	2.3463109467400094;	0.9285482329270038;
-2212;	0.938;	-1;	16.289616906039413;	0.9983462282727483;
-2212;	0.938;	-1;	4.492870023715353;	0.9788939607140754;
-2212;	0.938;	-1;	2.2182368951491633;	0.9210394750679403;
-2212;	0.938;	-1;	4.631918508636027;	0.9801051377003867;
-2212;	0.938;	-1;	10.719680617802426;	0.9961934919773491;
-2212;	0.938;	-1;	11.42744056880249;	0.9966481089252335;
-2212;	0.938;	-1;	6.2169748198384855;	0.9888087387966288;
-2212;	0.938;	-1;	11.397524233298432;	0.996630578627824;
-2212;	0.938;	-1;	9.224468456085965;	0.9948697223993771;
-2212;	0.938;	-1;	4.231295631470933;	0.9762987206804319;
-2212;	0.938;	-1;	8.506829156136147;	0.9939757640971166;
-2212;	0.938;	-1;	8.691630636505636;	0.9942270249164571;
-2212;	0.938;	-1;	8.479499575562523;	0.9939372220808805;
-2212;	0.938;	-1;	18.03020258328112;	0.9986495018185318;
-2212;	0.938;	-1;	8.65282573816207;	0.9941755817765666;
-2212;	0.938;	-1;	4.648172058935104;	0.9802399400656076;
-2212;	0.938;	-1;	7.574039935232319;	0.9924184224458423;
-2212;	0.938;	-1;	5.97379021773321;	0.9878958461686442;
-2212;	0.938;	-1;	8.878742696763151;	0.9944657874062173;
-2212;	0.938;	-1;	15.526062605863979;	0.9981800219714771;
-2212;	0.938;	-1;	14.24333651792518;	0.9978385639880337;
-2212;	0.938;	-1;	3.360203225974435;	0.9631763451171387;
