# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=168568267
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
0;	0.008750886944027123;	0
0.008750886944027123;	0.017501773888054246;	4723895
0.017501773888054246;	0.02625266083208137;	4657057
0.02625266083208137;	0.03500354777610849;	5391919
0.03500354777610849;	0.04375443472013561;	5667773
0.04375443472013561;	0.05250532166416274;	5694529
0.05250532166416274;	0.061256208608189866;	5585174
0.061256208608189866;	0.07000709555221699;	5405342
0.07000709555221699;	0.0787579824962441;	5187396
0.0787579824962441;	0.08750886944027123;	4962409
0.08750886944027123;	0.09625975638429836;	4721992
0.09625975638429836;	0.10501064332832548;	4482130
0.10501064332832548;	0.1137615302723526;	4250506
0.1137615302723526;	0.12251241721637973;	4021898
0.12251241721637973;	0.13126330416040685;	3815682
0.13126330416040685;	0.14001419110443397;	3611622
0.14001419110443397;	0.1487650780484611;	3417849
0.1487650780484611;	0.1575159649924882;	3239143
0.1575159649924882;	0.16626685193651533;	3073143
0.16626685193651533;	0.17501773888054245;	2910058
0.17501773888054245;	0.1837686258245696;	2766420
0.1837686258245696;	0.19251951276859672;	2627627
0.19251951276859672;	0.20127039971262384;	2499130
0.20127039971262384;	0.21002128665665096;	2380502
0.21002128665665096;	0.21877217360067808;	2265702
0.21877217360067808;	0.2275230605447052;	2162509
0.2275230605447052;	0.23627394748873232;	2061034
0.23627394748873232;	0.24502483443275946;	1967739
0.24502483443275946;	0.25377572137678656;	1883784
0.25377572137678656;	0.2625266083208137;	1799576
0.2625266083208137;	0.2712774952648408;	1720926
0.2712774952648408;	0.28002838220886794;	1648337
0.28002838220886794;	0.2887792691528951;	1582267
0.2887792691528951;	0.2975301560969222;	1515745
0.2975301560969222;	0.30628104304094933;	1454798
0.30628104304094933;	0.3150319299849764;	1396669
0.3150319299849764;	0.32378281692900357;	1344084
0.32378281692900357;	0.33253370387303066;	1289773
0.33253370387303066;	0.3412845908170578;	1241646
0.3412845908170578;	0.3500354777610849;	1193683
0.3500354777610849;	0.35878636470511205;	1153455
0.35878636470511205;	0.3675372516491392;	1109884
0.3675372516491392;	0.3762881385931663;	1069182
0.3762881385931663;	0.38503902553719344;	1031409
0.38503902553719344;	0.3937899124812205;	994818
0.3937899124812205;	0.4025407994252477;	963075
0.4025407994252477;	0.41129168636927477;	930642
0.41129168636927477;	0.4200425733133019;	900500
0.4200425733133019;	0.42879346025732906;	869437
0.42879346025732906;	0.43754434720135615;	840421
0.43754434720135615;	0.4462952341453833;	814246
0.4462952341453833;	0.4550461210894104;	787816
0.4550461210894104;	0.46379700803343754;	763367
0.46379700803343754;	0.47254789497746463;	739464
0.47254789497746463;	0.4812987819214918;	718052
0.4812987819214918;	0.49004966886551893;	694404
0.49004966886551893;	0.498800555809546;	673484
0.498800555809546;	0.5075514427535731;	655773
0.5075514427535731;	0.5163023296976003;	636920
0.5163023296976003;	0.5250532166416274;	619170
0.5250532166416274;	0.5338041035856546;	599358
0.5338041035856546;	0.5425549905296816;	582659
0.5425549905296816;	0.5513058774737087;	567690
0.5513058774737087;	0.5600567644177359;	550544
0.5600567644177359;	0.568807651361763;	536481
0.568807651361763;	0.5775585383057902;	520879
0.5775585383057902;	0.5863094252498172;	508859
0.5863094252498172;	0.5950603121938444;	493356
0.5950603121938444;	0.6038111991378715;	481210
0.6038111991378715;	0.6125620860818987;	468280
0.6125620860818987;	0.6213129730259257;	457472
0.6213129730259257;	0.6300638599699528;	444508
0.6300638599699528;	0.63881474691398;	433534
0.63881474691398;	0.6475656338580071;	423400
0.6475656338580071;	0.6563165208020343;	412539
0.6563165208020343;	0.6650674077460613;	403112
0.6650674077460613;	0.6738182946900885;	392080
0.6738182946900885;	0.6825691816341156;	382493
0.6825691816341156;	0.6913200685781428;	372584
0.6913200685781428;	0.7000709555221698;	365278
0.7000709555221698;	0.708821842466197;	356398
0.708821842466197;	0.7175727294102241;	348008
0.7175727294102241;	0.7263236163542512;	340433
0.7263236163542512;	0.7350745032982784;	332226
0.7350745032982784;	0.7438253902423054;	325086
0.7438253902423054;	0.7525762771863326;	318370
0.7525762771863326;	0.7613271641303597;	309879
0.7613271641303597;	0.7700780510743869;	303520
0.7700780510743869;	0.778828938018414;	297291
