# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=47356
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	7.384111606933768;	0.9920281033032826;
-2212;	0.938;	-1;	6.935208666382288;	0.9909770704887305;
-2212;	0.938;	-1;	1.7641045984126225;	0.8829457367097135;
-2212;	0.938;	-1;	8.001037929193998;	0.9931980368851804;
-2212;	0.938;	-1;	8.485428182266645;	0.9939456142597477;
-2212;	0.938;	-1;	4.413571998499741;	0.9781536258468345;
-2212;	0.938;	-1;	5.311288409888226;	0.9847609004925565;
-2212;	0.938;	-1;	2.7030482835771097;	0.9447341261285791;
-2212;	0.938;	-1;	3.1570734948591235;	0.9585852273448953;
-2212;	0.938;	-1;	3.2574548585476975;	0.9609531438816049;
-2212;	0.938;	-1;	2.5060436381715303;	0.936546023412707;
-2212;	0.938;	-1;	6.095156136314475;	0.9883647834927308;
-2212;	0.938;	-1;	1.8504695679225422;	0.8919524401463312;
-2212;	0.938;	-1;	28.5526319838216;	0.9994608221629449;
-2212;	0.938;	-1;	2.315828400148422;	0.9268575805343829;
-2212;	0.938;	-1;	3.8296435504846924;	0.9712898042015001;
-2212;	0.938;	-1;	13.059825928875776;	0.9974306420977318;
-2212;	0.938;	-1;	2.305409024118063;	0.9262664405614633;
-2212;	0.938;	-1;	6.2379429046297785;	0.9888826005899085;
-2212;	0.938;	-1;	3.031601375215416;	0.9553172884418555;
-2212;	0.938;	-1;	4.3167801119252065;	0.9771965869829864;
-2212;	0.938;	-1;	3.3396324067950953;	0.9627464232196143;
-2212;	0.938;	-1;	4.546844686880783;	0.9793767754977182;
-2212;	0.938;	-1;	6.272617523595712;	0.9890031589576458;
-2212;	0.938;	-1;	5.582308561566712;	0.9861748962956948;
-2212;	0.938;	-1;	9.470610682890579;	0.9951310108137307;
-2212;	0.938;	-1;	9.80300730628928;	0.9954533942297685;
-2212;	0.938;	-1;	4.053795788981483;	0.9742589285164898;
-2212;	0.938;	-1;	6.872736399998329;	0.9908145539639353;
-2212;	0.938;	-1;	5.5930821709523455;	0.9862270116627591;
-2212;	0.938;	-1;	7.600700292012308;	0.9924709176243149;
-2212;	0.938;	-1;	0.8065844021954552;	0.6519948462453738;
-2212;	0.938;	-1;	3.9028155195063987;	0.9723123840034161;
-2212;	0.938;	-1;	2.0866258173026617;	0.9120820034260846;
-2212;	0.938;	-1;	5.039112081334171;	0.9831128274034864;
-2212;	0.938;	-1;	2.2640719231819912;	0.9238520179282816;
-2212;	0.938;	-1;	1.0022188682293902;	0.7301113300396075;
-2212;	0.938;	-1;	11.633390345547124;	0.9967651675623673;
-2212;	0.938;	-1;	6.052702216283236;	0.9882038780868316;
-2212;	0.938;	-1;	7.262753055946157;	0.9917627714842929;
-2212;	0.938;	-1;	0.8443603474115776;	0.6690349233418204;
-2212;	0.938;	-1;	10.772545867863593;	0.9962305500064255;
-2212;	0.938;	-1;	3.975016093313807;	0.9732694624004014;
-2212;	0.938;	-1;	9.664478234933586;	0.9953230389969748;
-2212;	0.938;	-1;	13.204534071273436;	0.9974864375870419;
-2212;	0.938;	-1;	10.793197156242677;	0.9962448797781037;
-2212;	0.938;	-1;	11.18075369993365;	0.9964993524816022;
-2212;	0.938;	-1;	4.61927333671964;	0.979999315540918;
-2212;	0.938;	-1;	6.9077671362619775;	0.990906216670408;
-2212;	0.938;	-1;	8.700853657334148;	0.994239151790739;
-2212;	0.938;	-1;	2.132599185487278;	0.9153693975154386;
-2212;	0.938;	-1;	1.7026546312709017;	0.8758811861320889;
-2212;	0.938;	-1;	9.71196312654141;	0.9953683450364409;
-2212;	0.938;	-1;	10.91081929394171;	0.9963249628240772;
-2212;	0.938;	-1;	2.8957741067186165;	0.9513355508593497;
-2212;	0.938;	-1;	15.475331856413451;	0.9981681028451681;
-2212;	0.938;	-1;	5.033644341820757;	0.9830770470095183;
-2212;	0.938;	-1;	17.99309747142101;	0.9986439374551599;
-2212;	0.938;	-1;	6.074572390399262;	0.9882871801326142;
-2212;	0.938;	-1;	9.80881930886305;	0.9954587439823752;
-2212;	0.938;	-1;	23.528100134397697;	0.9992062483539532;
-2212;	0.938;	-1;	3.4201846000034855;	0.9643890453822577;
-2212;	0.938;	-1;	8.611185057320565;	0.994119612970432;
-2212;	0.938;	-1;	3.861050535783752;	0.9717354451506839;
-2212;	0.938;	-1;	7.514474971841545;	0.9922991426902968;
-2212;	0.938;	-1;	4.988409258309206;	0.9827766592914647;
-2212;	0.938;	-1;	2.928157218884601;	0.9523306687935461;
-2212;	0.938;	-1;	2.5420951834618624;	0.9381707726920281;
-2212;	0.938;	-1;	11.554287002697656;	0.9967209414752319;
-2212;	0.938;	-1;	11.200074269558574;	0.9965113565013242;
-2212;	0.938;	-1;	7.055400670613115;	0.9912778955372435;
-2212;	0.938;	-1;	18.883077410736874;	0.998768520122345;
-2212;	0.938;	-1;	3.224223833327953;	0.9601917839770623;
-2212;	0.938;	-1;	3.5465426814751573;	0.9667585258363276;
-2212;	0.938;	-1;	3.4288666123085045;	0.9645596922341859;
-2212;	0.938;	-1;	12.786679396071717;	0.9973201429776853;
-2212;	0.938;	-1;	6.600994590016004;	0.9900541946409969;
-2212;	0.938;	-1;	9.966290468643495;	0.9956001791492013;
-2212;	0.938;	-1;	3.609969541155299;	0.9678611547753283;
-2212;	0.938;	-1;	3.713403889032406;	0.9695468257130353;
-2212;	0.938;	-1;	9.567220947667144;	0.9952281497238165;
-2212;	0.938;	-1;	19.18258877874413;	0.9988066075659561;
-2212;	0.938;	-1;	10.245730261128292;	0.9958354291073799;
-2212;	0.938;	-1;	2.0021674995554193;	0.9055486075613024;
-2212;	0.938;	-1;	13.147942097442472;	0.9974648354302669;
-2212;	0.938;	-1;	9.329576716949703;	0.9949838046021008;
-2212;	0.938;	-1;	2.254077741270875;	0.9232511919043254;
-2212;	0.938;	-1;	6.7058097765631555;	0.9903582336958221;
-2212;	0.938;	-1;	15.757279658119197;	0.9982329011458149;
-2212;	0.938;	-1;	19.520206998455112;	0.9988474612747522;
-2212;	0.938;	-1;	6.422809636038188;	0.9895034755437404;
-2212;	0.938;	-1;	18.658214821817655;	0.998738714961072;
-2212;	0.938;	-1;	2.740055378387269;	0.9460991815493975;
-2212;	0.938;	-1;	3.237015013956531;	0.9604874060093704;
-2212;	0.938;	-1;	1.2584742725892333;	0.8017871877032362;
-2212;	0.938;	-1;	3.902654448398551;	0.9723101925506112;
-2212;	0.938;	-1;	3.0807879127434266;	0.9566419674065875;
-2212;	0.938;	-1;	5.808703036712262;	0.9872113832985506;
-2212;	0.938;	-1;	9.835579787546333;	0.995483254966265;
-2212;	0.938;	-1;	4.5334660344855084;	0.9792586404914742;
-2212;	0.938;	-1;	6.90974421993072;	0.9909113492095857;
-2212;	0.938;	-1;	3.875119881781724;	0.971931767658317;
-2212;	0.938;	-1;	1.180171311671742;	0.7828506829099459;
-2212;	0.938;	-1;	5.791527531846845;	0.9871368777679685;
-2212;	0.938;	-1;	2.797375832792226;	0.948118347023625;
-2212;	0.938;	-1;	22.779484949247184;	0.9991532873974169;
-2212;	0.938;	-1;	3.4940459765635596;	0.9658031835592146;
-2212;	0.938;	-1;	14.235769504702056;	0.9978362730121471;
-2212;	0.938;	-1;	5.877766880420723;	0.9875045742813584;
-2212;	0.938;	-1;	5.8631720976854576;	0.9874434571198204;
-2212;	0.938;	-1;	2.5019039907640344;	0.9363555058090715;
-2212;	0.938;	-1;	6.28376955079107;	0.9890415185855563;
-2212;	0.938;	-1;	1.3594216795439156;	0.8230803869487746;
-2212;	0.938;	-1;	6.104148465170305;	0.9883984452717953;
-2212;	0.938;	-1;	3.1486082160853233;	0.9583759644046486;
-2212;	0.938;	-1;	9.135221227580423;	0.9947697803816603;
-2212;	0.938;	-1;	5.537262795627547;	0.9859537826711111;
-2212;	0.938;	-1;	18.608427285912853;	0.9987319695516585;
-2212;	0.938;	-1;	5.535415067686618;	0.985944600628068;
-2212;	0.938;	-1;	3.7651587830594355;	0.9703416560504637;
-2212;	0.938;	-1;	0.8837684298168836;	0.6857533929064477;
-2212;	0.938;	-1;	2.685193406626251;	0.94405744686157;
-2212;	0.938;	-1;	4.224938123396838;	0.9762298626891988;
-2212;	0.938;	-1;	3.0724009332946767;	0.9564201991540799;
-2212;	0.938;	-1;	13.072890192715954;	0.9974357551311208;
-2212;	0.938;	-1;	5.311941687510133;	0.9847645633371858;
-2212;	0.938;	-1;	4.937830669085362;	0.9824313039684632;
-2212;	0.938;	-1;	15.419245346326647;	0.9981547887226656;
-2212;	0.938;	-1;	21.86906173697905;	0.9990814206922212;
-2212;	0.938;	-1;	4.910251467447232;	0.9822386366798146;
-2212;	0.938;	-1;	18.772795099662385;	0.998754035875526;
-2212;	0.938;	-1;	16.886163085277513;	0.9984607467215667;
-2212;	0.938;	-1;	15.684366981156778;	0.9982164773910338;
-2212;	0.938;	-1;	1.5972002401458654;	0.8622948747347278;
-2212;	0.938;	-1;	22.183103265800842;	0.9991072102907856;
-2212;	0.938;	-1;	0.5863289964734901;	0.530050292925047;
-2212;	0.938;	-1;	4.594013302308233;	0.9797854073138048;
-2212;	0.938;	-1;	0.9666052981534919;	0.717645894075079;
-2212;	0.938;	-1;	7.389082153461281;	0.9920386971968879;
-2212;	0.938;	-1;	4.418004543742005;	0.9781960178351846;
-2212;	0.938;	-1;	1.7302845264262177;	0.8791296594169995;
-2212;	0.938;	-1;	10.61348144973048;	0.996117379837503;
