# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=48365263
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
0;	0.008750886944027123;	483042
0.008750886944027123;	0.017501773888054246;	1362323
0.017501773888054246;	0.02625266083208137;	1287216
0.02625266083208137;	0.03500354777610849;	1482366
0.03500354777610849;	0.04375443472013561;	1558316
0.04375443472013561;	0.05250532166416274;	1565951
0.05250532166416274;	0.061256208608189866;	1547046
0.061256208608189866;	0.07000709555221699;	1501541
0.07000709555221699;	0.0787579824962441;	1449124
0.0787579824962441;	0.08750886944027123;	1390659
0.08750886944027123;	0.09625975638429836;	1328306
0.09625975638429836;	0.10501064332832548;	1266251
0.10501064332832548;	0.1137615302723526;	1207650
0.1137615302723526;	0.12251241721637973;	1144257
0.12251241721637973;	0.13126330416040685;	1088752
0.13126330416040685;	0.14001419110443397;	1031455
0.14001419110443397;	0.1487650780484611;	978301
0.1487650780484611;	0.1575159649924882;	928610
0.1575159649924882;	0.16626685193651533;	883196
0.16626685193651533;	0.17501773888054245;	838391
0.17501773888054245;	0.1837686258245696;	795678
0.1837686258245696;	0.19251951276859672;	756281
0.19251951276859672;	0.20127039971262384;	721091
0.20127039971262384;	0.21002128665665096;	686277
0.21002128665665096;	0.21877217360067808;	653904
0.21877217360067808;	0.2275230605447052;	623741
0.2275230605447052;	0.23627394748873232;	595954
0.23627394748873232;	0.24502483443275946;	568403
0.24502483443275946;	0.25377572137678656;	544192
0.25377572137678656;	0.2625266083208137;	518765
0.2625266083208137;	0.2712774952648408;	497406
0.2712774952648408;	0.28002838220886794;	473564
0.28002838220886794;	0.2887792691528951;	455773
0.2887792691528951;	0.2975301560969222;	435709
0.2975301560969222;	0.30628104304094933;	418941
0.30628104304094933;	0.3150319299849764;	402826
0.3150319299849764;	0.32378281692900357;	386938
0.32378281692900357;	0.33253370387303066;	372430
0.33253370387303066;	0.3412845908170578;	357541
0.3412845908170578;	0.3500354777610849;	343522
0.3500354777610849;	0.35878636470511205;	331667
0.35878636470511205;	0.3675372516491392;	317855
0.3675372516491392;	0.3762881385931663;	307497
0.3762881385931663;	0.38503902553719344;	296086
0.38503902553719344;	0.3937899124812205;	284986
0.3937899124812205;	0.4025407994252477;	276505
0.4025407994252477;	0.41129168636927477;	264787
0.41129168636927477;	0.4200425733133019;	257138
0.4200425733133019;	0.42879346025732906;	248132
0.42879346025732906;	0.43754434720135615;	240434
0.43754434720135615;	0.4462952341453833;	232832
0.4462952341453833;	0.4550461210894104;	225653
0.4550461210894104;	0.46379700803343754;	218182
0.46379700803343754;	0.47254789497746463;	210349
0.47254789497746463;	0.4812987819214918;	203879
0.4812987819214918;	0.49004966886551893;	197729
0.49004966886551893;	0.498800555809546;	192105
0.498800555809546;	0.5075514427535731;	185978
