# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=14628
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	1.8082035010266406;	0.8876716647611065;
-2212;	0.938;	-1;	5.168979322018033;	0.9839306402951925;
-2212;	0.938;	-1;	5.388044267970893;	0.9851824542957587;
-2212;	0.938;	-1;	26.16370314008751;	0.9993579647838815;
-2212;	0.938;	-1;	6.675246948076153;	0.9902710285548021;
-2212;	0.938;	-1;	2.5428011261828245;	0.9382019821487579;
-2212;	0.938;	-1;	1.8791726980871128;	0.894729109775263;
-2212;	0.938;	-1;	3.8949434099987896;	0.9722049791891363;
-2212;	0.938;	-1;	5.109564350547804;	0.9835639693820138;
-2212;	0.938;	-1;	3.6554682171970803;	0.9686191950678331;
-2212;	0.938;	-1;	3.1544535941627037;	0.9585206283761037;
-2212;	0.938;	-1;	7.179029327172721;	0.9915719579901411;
-2212;	0.938;	-1;	4.895894069733638;	0.9821370908854199;
-2212;	0.938;	-1;	2.0884890926756117;	0.912218765889202;
-2212;	0.938;	-1;	2.6719405295253114;	0.9435473451275603;
-2212;	0.938;	-1;	24.366938881937592;	0.9992598983170933;
-2212;	0.938;	-1;	1.0476268825235444;	0.74501170066965;
-2212;	0.938;	-1;	6.875826849661429;	0.9908226959043348;
-2212;	0.938;	-1;	6.971730648435581;	0.9910700984026504;
-2212;	0.938;	-1;	26.56861692088809;	0.9993773671493268;
-2212;	0.938;	-1;	3.0329752358532787;	0.9553550896445288;
-2212;	0.938;	-1;	2.373902535746782;	0.9300303050764753;
-2212;	0.938;	-1;	12.842934993071365;	0.9973434753223046;
-2212;	0.938;	-1;	3.155614058624167;	0.9585492602215925;
-2212;	0.938;	-1;	14.336543886983456;	0.9978664876912164;
-2212;	0.938;	-1;	5.387727079656875;	0.9851807481480851;
-2212;	0.938;	-1;	3.8649251461575553;	0.9717897132262904;
-2212;	0.938;	-1;	4.313749098213553;	0.977165620165691;
-2212;	0.938;	-1;	5.779224453211348;	0.9870831099592476;
-2212;	0.938;	-1;	0.9741700881582692;	0.7203533589139237;
-2212;	0.938;	-1;	2.2912166483730863;	0.9254500932118331;
-2212;	0.938;	-1;	5.414367507076072;	0.9853230334481949;
-2212;	0.938;	-1;	5.431351679570473;	0.9854126859254936;
-2212;	0.938;	-1;	5.172918947618743;	0.9839545216643897;
-2212;	0.938;	-1;	5.957024002918236;	0.9878288559404664;
-2212;	0.938;	-1;	3.933724210506883;	0.972728211068369;
-2212;	0.938;	-1;	4.127635483836841;	0.9751379086505167;
-2212;	0.938;	-1;	2.0969979693659697;	0.9128394541823047;
-2212;	0.938;	-1;	8.495172311381095;	0.9939593697707092;
-2212;	0.938;	-1;	2.9569623531086764;	0.9531910125716793;
-2212;	0.938;	-1;	11.57927826926156;	0.9967350112510968;
-2212;	0.938;	-1;	4.62506101546185;	0.9800478536739603;
-2212;	0.938;	-1;	7.765407281187124;	0.9927835071309958;
-2212;	0.938;	-1;	8.160318700530329;	0.9934584052727908;
-2212;	0.938;	-1;	6.263371902017794;	0.9889712047254383;
-2212;	0.938;	-1;	0.8442186699201162;	0.6689729052587987;
-2212;	0.938;	-1;	3.9149419893145287;	0.9724766369035448;
-2212;	0.938;	-1;	11.691283609613858;	0.9967969715554339;
-2212;	0.938;	-1;	6.895816726424869;	0.9908751008867922;
-2212;	0.938;	-1;	10.139945927616429;	0.9957486388484489;
-2212;	0.938;	-1;	6.4347741854972655;	0.9895418632282015;
-2212;	0.938;	-1;	8.188098008481473;	0.9935022856482901;
-2212;	0.938;	-1;	11.499594242863258;	0.9966898315726043;
-2212;	0.938;	-1;	2.835977818254755;	0.9494164941811366;
-2212;	0.938;	-1;	9.80605153753747;	0.9954561975176832;
-2212;	0.938;	-1;	19.197468731239127;	0.9988084535413159;
-2212;	0.938;	-1;	10.999872895153107;	0.9963839061691893;
-2212;	0.938;	-1;	12.965393586707423;	0.997393225151751;
-2212;	0.938;	-1;	10.945136890797347;	0.9963478463655093;
-2212;	0.938;	-1;	0.7428126767725495;	0.6208207674280984;
-2212;	0.938;	-1;	6.063678856631179;	0.988245797417017;
