# hega-rs ver.0.2.9 statistics: 
#UrQmdF19 in Lab: false
FinEnergy;	ECharge;	BCharge;	LCharge;	FinCnt;	FinChargedCnt;	PseudorapidityFilterCnt(-0.5, 0.5);	PseudorapidityFilterCnt(-1.0, 1.0);	PseudorapidityFilterCnt(-1.5, 1.5);	PseudorapidityFilterCnt(3.5, 5.8);	PseudorapidityFilterCnt(-5.8, -3.5);	PseudorapidityFilterCnt(4.4, 5.8);	PseudorapidityFilterCnt(-5.8, -4.4)
6931.118641392697;	172;	407;	0;	1317;	725;	39;	95;	164;	147;	0;	56;	0
6885.52917169855;	171;	408;	0;	1486;	859;	33;	99;	180;	175;	0;	57;	0
6893.283912560311;	172;	406;	0;	1256;	694;	25;	84;	161;	135;	0;	51;	0
6939.7507135973965;	172;	407;	0;	1443;	833;	28;	94;	173;	160;	0;	48;	0
6969.0833796276065;	168;	405;	0;	1482;	861;	40;	88;	169;	177;	0;	51;	0
6944.437712640745;	172;	407;	0;	1479;	833;	39;	90;	179;	148;	1;	49;	0
6952.851974791512;	170;	407;	0;	1586;	918;	29;	95;	182;	155;	0;	29;	0
6922.776074343339;	172;	407;	0;	1389;	811;	34;	92;	180;	135;	0;	39;	0
6893.006437064393;	172;	408;	0;	1232;	688;	47;	107;	169;	128;	0;	44;	0
6876.260079195246;	172;	408;	0;	1564;	936;	37;	90;	194;	141;	0;	37;	0
7013.553794112548;	172;	407;	0;	1584;	915;	48;	93;	169;	156;	0;	40;	0
6965.5037916814545;	172;	407;	0;	1340;	755;	28;	91;	175;	120;	0;	27;	0
6976.707074352622;	170;	406;	0;	1099;	601;	33;	86;	141;	106;	0;	41;	0
6949.204215273757;	170;	406;	0;	1211;	709;	37;	91;	168;	123;	0;	47;	0
6971.3542071795755;	171;	408;	0;	1209;	667;	39;	85;	144;	121;	0;	50;	0
6927.279092732108;	172;	407;	0;	1406;	817;	44;	90;	160;	182;	0;	49;	0
6912.340219012143;	172;	408;	0;	1360;	766;	40;	82;	149;	142;	0;	41;	0
6882.706949318907;	170;	406;	0;	1396;	779;	36;	93;	185;	135;	0;	45;	0
6963.761430320264;	170;	407;	0;	1377;	792;	52;	98;	172;	156;	0;	36;	0
6954.789824194705;	168;	406;	0;	1359;	798;	36;	86;	154;	158;	0;	50;	0
6976.620961188762;	172;	408;	0;	1476;	874;	36;	92;	181;	153;	0;	45;	0
6905.405729821273;	172;	407;	0;	1395;	825;	38;	102;	185;	150;	1;	33;	1
6917.092978687163;	172;	407;	0;	1528;	941;	37;	98;	205;	182;	0;	50;	0
6889.199561372303;	172;	406;	0;	1196;	672;	38;	85;	159;	116;	0;	36;	0
6994.283025414905;	171;	408;	0;	1478;	853;	42;	99;	182;	162;	1;	44;	0
6871.0235017531195;	170;	407;	0;	1570;	920;	36;	76;	170;	154;	0;	54;	0
6964.32818105557;	172;	407;	0;	1467;	857;	39;	98;	191;	162;	0;	55;	0
6930.503128207505;	169;	407;	0;	1386;	823;	42;	86;	149;	173;	0;	47;	0
6940.824822009794;	172;	408;	0;	1222;	652;	43;	87;	142;	144;	0;	44;	0
6880.898660147097;	170;	406;	0;	1334;	769;	30;	96;	172;	141;	0;	49;	0
6952.11683320857;	172;	406;	0;	1306;	768;	44;	103;	176;	150;	0;	47;	0
6945.392681350663;	170;	407;	0;	1606;	952;	38;	95;	183;	170;	0;	48;	0
7000.133926775996;	172;	408;	0;	1661;	972;	34;	89;	179;	165;	0;	49;	0
6909.60939623798;	172;	408;	0;	1679;	1008;	38;	100;	191;	150;	0;	36;	0
6877.42557316672;	172;	406;	0;	1282;	738;	42;	114;	183;	147;	0;	52;	0
6956.543241821232;	172;	407;	0;	1411;	807;	34;	98;	190;	128;	0;	52;	0
6961.895054172698;	172;	408;	0;	1598;	904;	39;	94;	178;	144;	0;	35;	0
6981.516073883865;	172;	408;	0;	1358;	790;	50;	97;	172;	119;	0;	40;	0
6941.80391889472;	172;	407;	0;	1422;	829;	33;	92;	155;	153;	0;	43;	0
6925.671568691968;	172;	403;	0;	1417;	831;	39;	96;	187;	136;	0;	45;	0
6878.861325051121;	172;	407;	0;	1620;	941;	43;	101;	181;	157;	0;	31;	0
6970.793805594301;	172;	408;	0;	1588;	926;	41;	103;	200;	171;	0;	48;	0
6910.498616355783;	172;	407;	0;	1414;	811;	53;	114;	184;	139;	0;	37;	0
6879.623120108616;	171;	405;	0;	1305;	762;	33;	87;	163;	142;	0;	34;	0
6893.806383170318;	172;	406;	0;	1329;	774;	40;	90;	166;	130;	0;	44;	0
6951.969335388604;	172;	408;	0;	1510;	862;	37;	97;	192;	152;	0;	40;	0
6921.1528570456185;	172;	407;	0;	1247;	717;	35;	78;	152;	125;	0;	32;	0
6959.160540201893;	172;	406;	0;	1434;	872;	33;	84;	185;	147;	0;	41;	0
6870.766875800879;	172;	406;	0;	1344;	794;	39;	90;	186;	144;	0;	34;	0
6910.225641563791;	172;	407;	0;	1251;	727;	40;	82;	164;	145;	0;	40;	0
6899.708882184853;	172;	407;	0;	1330;	759;	31;	94;	180;	133;	0;	42;	0
6999.613438894488;	172;	408;	0;	1400;	832;	38;	94;	181;	154;	0;	42;	0
6943.399590130295;	172;	407;	0;	1275;	717;	30;	90;	166;	122;	0;	46;	0
6985.067426793183;	172;	408;	0;	1449;	834;	38;	89;	159;	153;	0;	52;	0
6920.256559161255;	172;	408;	0;	1433;	816;	38;	89;	177;	144;	0;	46;	0
6931.319032939932;	172;	408;	0;	1676;	964;	33;	97;	188;	154;	0;	36;	0
6902.4653173196675;	170;	406;	0;	1260;	705;	33;	87;	175;	119;	0;	39;	0
6909.317299344262;	172;	407;	0;	1306;	741;	45;	89;	172;	115;	0;	32;	0
6931.404949902274;	170;	405;	0;	1300;	728;	33;	90;	161;	129;	0;	37;	0
6983.221766035573;	172;	407;	0;	1239;	729;	44;	104;	176;	152;	0;	52;	0
6892.33362115368;	171;	408;	0;	1300;	747;	41;	80;	156;	145;	0;	41;	0
6928.918811353411;	172;	407;	0;	1556;	943;	41;	101;	196;	157;	0;	41;	0
7038.153068315042;	172;	408;	0;	1244;	756;	37;	90;	158;	147;	0;	44;	0
6910.518327399664;	170;	407;	0;	1253;	718;	37;	75;	160;	124;	0;	42;	0
6979.9494087554895;	172;	408;	0;	1502;	870;	49;	114;	181;	155;	0;	39;	0
6910.009167899569;	172;	408;	0;	1591;	934;	46;	100;	181;	167;	0;	36;	0
6931.498709340509;	170;	407;	0;	1304;	766;	42;	94;	176;	125;	0;	31;	0
6880.656995402797;	168;	405;	0;	1410;	809;	41;	102;	183;	139;	0;	48;	0
6957.75216491205;	172;	406;	0;	1261;	716;	31;	86;	164;	136;	0;	32;	0
7016.880934803781;	172;	407;	0;	1267;	735;	49;	101;	172;	155;	0;	45;	0
6875.57011951627;	172;	408;	0;	1536;	884;	38;	92;	179;	147;	0;	36;	0
6942.570331093976;	171;	408;	0;	1327;	805;	56;	112;	181;	171;	0;	59;	0
6928.7220007648;	172;	408;	0;	1366;	774;	31;	90;	160;	129;	0;	41;	0
6923.957379899425;	172;	407;	0;	1249;	739;	42;	100;	170;	156;	0;	50;	0
6876.521844756614;	170;	406;	0;	1244;	723;	29;	71;	153;	141;	0;	51;	0
6949.6217756246015;	172;	408;	0;	1224;	702;	44;	98;	190;	127;	0;	52;	0
6997.6229068523035;	172;	408;	0;	1309;	762;	41;	84;	161;	139;	0;	42;	0
6921.393841473804;	172;	408;	0;	1180;	686;	36;	82;	148;	134;	0;	45;	0
6936.309218386906;	172;	407;	0;	1471;	869;	33;	80;	169;	145;	0;	33;	0
6898.480182084797;	172;	406;	0;	1175;	694;	43;	90;	152;	124;	0;	45;	0
6945.089410448449;	170;	407;	0;	1338;	776;	39;	92;	175;	162;	0;	51;	0
6955.943587067979;	170;	407;	0;	1281;	708;	31;	86;	171;	128;	0;	44;	0
