# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=104629527
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
0;	0.008750886944027123;	1045586
0.008750886944027123;	0.017501773888054246;	2949456
0.017501773888054246;	0.02625266083208137;	2792520
0.02625266083208137;	0.03500354777610849;	3203259
0.03500354777610849;	0.04375443472013561;	3368582
0.04375443472013561;	0.05250532166416274;	3391663
0.05250532166416274;	0.061256208608189866;	3341144
0.061256208608189866;	0.07000709555221699;	3251581
0.07000709555221699;	0.0787579824962441;	3138698
0.0787579824962441;	0.08750886944027123;	3007480
0.08750886944027123;	0.09625975638429836;	2877470
0.09625975638429836;	0.10501064332832548;	2741906
0.10501064332832548;	0.1137615302723526;	2609542
0.1137615302723526;	0.12251241721637973;	2476130
0.12251241721637973;	0.13126330416040685;	2350931
0.13126330416040685;	0.14001419110443397;	2232416
0.14001419110443397;	0.1487650780484611;	2116511
0.1487650780484611;	0.1575159649924882;	2012216
0.1575159649924882;	0.16626685193651533;	1910847
0.16626685193651533;	0.17501773888054245;	1814931
0.17501773888054245;	0.1837686258245696;	1725236
0.1837686258245696;	0.19251951276859672;	1639272
0.19251951276859672;	0.20127039971262384;	1559384
0.20127039971262384;	0.21002128665665096;	1483701
0.21002128665665096;	0.21877217360067808;	1414314
0.21877217360067808;	0.2275230605447052;	1348843
0.2275230605447052;	0.23627394748873232;	1288336
0.23627394748873232;	0.24502483443275946;	1228500
0.24502483443275946;	0.25377572137678656;	1175438
0.25377572137678656;	0.2625266083208137;	1124380
0.2625266083208137;	0.2712774952648408;	1074520
0.2712774952648408;	0.28002838220886794;	1028601
0.28002838220886794;	0.2887792691528951;	984931
0.2887792691528951;	0.2975301560969222;	944695
0.2975301560969222;	0.30628104304094933;	906441
0.30628104304094933;	0.3150319299849764;	870258
0.3150319299849764;	0.32378281692900357;	835595
0.32378281692900357;	0.33253370387303066;	802520
0.33253370387303066;	0.3412845908170578;	773824
0.3412845908170578;	0.3500354777610849;	743322
0.3500354777610849;	0.35878636470511205;	715575
0.35878636470511205;	0.3675372516491392;	689165
