# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=31692
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	12.26051717312814;	0.9970862203191023;
-2212;	0.938;	-1;	9.367664917283282;	0.9950242092742875;
-2212;	0.938;	-1;	2.22713266378229;	0.9215969018910392;
-2212;	0.938;	-1;	2.2450411367890366;	0.9227020380289561;
-2212;	0.938;	-1;	10.939242666814598;	0.9963439312007233;
-2212;	0.938;	-1;	3.4462253453047724;	0.9648972895436702;
-2212;	0.938;	-1;	2.631194871915961;	0.9419359295543442;
-2212;	0.938;	-1;	20.351143351953557;	0.9989395095088862;
-2212;	0.938;	-1;	3.839323996068188;	0.9714282631541061;
-2212;	0.938;	-1;	3.9844003836337785;	0.9733902534490291;
-2212;	0.938;	-1;	3.8917344122543875;	0.9721610196964496;
-2212;	0.938;	-1;	9.702598201419452;	0.995359461966321;
-2212;	0.938;	-1;	4.8094987884790035;	0.9815074198937034;
-2212;	0.938;	-1;	7.635363109231011;	0.9925383616272735;
-2212;	0.938;	-1;	11.560479678603523;	0.9967244363254616;
-2212;	0.938;	-1;	2.4539764424551835;	0.9340880324047416;
-2212;	0.938;	-1;	9.256909286737663;	0.994905343656371;
-2212;	0.938;	-1;	1.5646920373354625;	0.8576900096474818;
-2212;	0.938;	-1;	6.4556737163495175;	0.9896084176307769;
-2212;	0.938;	-1;	7.169704605182978;	0.9915502984289383;
-2212;	0.938;	-1;	16.0743553978312;	0.9983017518828542;
-2212;	0.938;	-1;	4.938428182350736;	0.9824354437283134;
-2212;	0.938;	-1;	6.726338201783274;	0.9904161541517963;
-2212;	0.938;	-1;	15.596329619942836;	0.9981963400848188;
-2212;	0.938;	-1;	1.6757027876052484;	0.8725933699066643;
-2212;	0.938;	-1;	1.5610898441681695;	0.8571666729016465;
-2212;	0.938;	-1;	0.9283766485365517;	0.7034514689199018;
-2212;	0.938;	-1;	1.6868290225906388;	0.8739652405623286;
-2212;	0.938;	-1;	2.1868281168233135;	0.9190250920100695;
-2212;	0.938;	-1;	2.767523792367647;	0.9470808257722111;
-2212;	0.938;	-1;	20.293297211102388;	0.9989334647081033;
-2212;	0.938;	-1;	9.825605268048834;	0.9954741421059728;
-2212;	0.938;	-1;	2.356765401125025;	0.9291150803623761;
-2212;	0.938;	-1;	9.119542558370185;	0.9947519223781052;
-2212;	0.938;	-1;	4.346497028708291;	0.9774969241050429;
-2212;	0.938;	-1;	0.7825840970995769;	0.6406275141656631;
-2212;	0.938;	-1;	16.652170227079864;	0.9984172876194345;
-2212;	0.938;	-1;	9.76229534430894;	0.9954156544081387;
-2212;	0.938;	-1;	17.60325806121878;	0.9985833390129838;
-2212;	0.938;	-1;	14.905481430652552;	0.998025777526608;
-2212;	0.938;	-1;	5.887561376677566;	0.9875453414420513;
-2212;	0.938;	-1;	5.821637352710404;	0.9872670672614265;
-2212;	0.938;	-1;	20.530842495843416;	0.9989579635765645;
-2212;	0.938;	-1;	43.40497551757441;	0.9997665765049885;
-2212;	0.938;	-1;	11.459210158756465;	0.9966665760733692;
-2212;	0.938;	-1;	2.4743668219730477;	0.9350667977870286;
-2212;	0.938;	-1;	1.7144244812895668;	0.8772797639063884;
-2212;	0.938;	-1;	9.97135463204679;	0.9956046176842073;
-2212;	0.938;	-1;	4.9073104081129575;	0.9822179054112974;
-2212;	0.938;	-1;	3.395378349548839;	0.9638947507373234;
-2212;	0.938;	-1;	5.478403129831995;	0.9856568353419131;
-2212;	0.938;	-1;	1.8133790439533042;	0.8882085842309846;
-2212;	0.938;	-1;	12.156096407960328;	0.9970361699167641;
-2212;	0.938;	-1;	6.417091507168806;	0.9894850549095023;
-2212;	0.938;	-1;	4.43458967150829;	0.9783535569635351;
-2212;	0.938;	-1;	3.9025660721691824;	0.9723089900389171;
-2212;	0.938;	-1;	0.35420806032089386;	0.3532718322706651;
-2212;	0.938;	-1;	14.198220987654619;	0.9978248508865591;
-2212;	0.938;	-1;	3.28052246513326;	0.9614691265330598;
-2212;	0.938;	-1;	3.494355785969139;	0.9658089396343014;
-2212;	0.938;	-1;	3.923127425956108;	0.972586695101233;
-2212;	0.938;	-1;	8.255082139588941;	0.9936063014624105;
-2212;	0.938;	-1;	1.2287219969651393;	0.7948604161664993;
-2212;	0.938;	-1;	6.037163551695779;	0.9881441543953616;
-2212;	0.938;	-1;	10.169559743024918;	0.9957732062403257;
-2212;	0.938;	-1;	5.053148250693719;	0.9832041653445867;
-2212;	0.938;	-1;	8.601194071345036;	0.9941060645506855;
-2212;	0.938;	-1;	18.299318541754637;	0.998688853989667;
-2212;	0.938;	-1;	2.8987829692553735;	0.9514292860942468;
-2212;	0.938;	-1;	1.9753426351830712;	0.9033284964482768;
-2212;	0.938;	-1;	16.293859212021257;	0.9983470871864472;
-2212;	0.938;	-1;	7.204416351813379;	0.9916305087500146;
-2212;	0.938;	-1;	3.274497460506879;	0.9613353293092682;
-2212;	0.938;	-1;	2.7383066541132677;	0.9460357900164094;
-2212;	0.938;	-1;	8.963983060001897;	0.9945696872214679;
-2212;	0.938;	-1;	2.0022849777444267;	0.9055581699337617;
-2212;	0.938;	-1;	5.367293445516558;	0.9850702168326626;
-2212;	0.938;	-1;	2.0107091263265806;	0.9062402879045832;
-2212;	0.938;	-1;	8.605795945734712;	0.994112310781503;
-2212;	0.938;	-1;	1.4108472655457394;	0.8327483532899107;
-2212;	0.938;	-1;	11.149731551373332;	0.9964799483992584;
-2212;	0.938;	-1;	2.136454229097595;	0.915637012538515;
-2212;	0.938;	-1;	1.7483579803656488;	0.8811903584842952;
-2212;	0.938;	-1;	2.3724063312015082;	0.9299510814833176;
-2212;	0.938;	-1;	21.80213101954653;	0.9990757799403839;
-2212;	0.938;	-1;	13.854403563526075;	0.9977159264399463;
-2212;	0.938;	-1;	6.512834647160942;	0.98978725143057;
-2212;	0.938;	-1;	8.275581994018609;	0.9936376372364055;
-2212;	0.938;	-1;	6.0463585765983145;	0.9881795502744787;
-2212;	0.938;	-1;	4.380058002032394;	0.9778291106974383;
-2212;	0.938;	-1;	3.7794439625327163;	0.9705556458235222;
-2212;	0.938;	-1;	4.492460952509326;	0.97889023768173;
-2212;	0.938;	-1;	5.759820064486823;	0.9869976242968418;
-2212;	0.938;	-1;	8.574371209243626;	0.9940694592513786;
-2212;	0.938;	-1;	12.65521716206897;	0.9972644065949675;
-2212;	0.938;	-1;	3.547055793759664;	0.9667676684099715;
-2212;	0.938;	-1;	11.179145037067308;	0.9964983502187932;
-2212;	0.938;	-1;	14.793636370240415;	0.9979959030765431;
-2212;	0.938;	-1;	10.789509897572966;	0.9962423272050257;
-2212;	0.938;	-1;	18.33252936490216;	0.9986935908789518;
-2212;	0.938;	-1;	7.760086436679749;	0.9927737145469114;
-2212;	0.938;	-1;	5.078526766757561;	0.9833674565879167;
-2212;	0.938;	-1;	6.827738142425212;	0.9906947717674609;
-2212;	0.938;	-1;	4.401215668548066;	0.9780348048013945;
-2212;	0.938;	-1;	6.3333941817722;	0.9892098152785567;
-2212;	0.938;	-1;	1.414830648641469;	0.8334669491353571;
-2212;	0.938;	-1;	4.202208563830334;	0.9759812394753474;
-2212;	0.938;	-1;	9.176469068304703;	0.9948163297958154;
-2212;	0.938;	-1;	18.126553057651225;	0.9986637919398978;
-2212;	0.938;	-1;	6.852335963656858;	0.9907605364334411;
-2212;	0.938;	-1;	14.43821034962218;	0.9978963336920991;
-2212;	0.938;	-1;	12.137802709915663;	0.9970272690373613;
-2212;	0.938;	-1;	15.669513566584317;	0.9982131035838032;
-2212;	0.938;	-1;	9.888201013805748;	0.9955308789092948;
-2212;	0.938;	-1;	17.02190451035374;	0.9984851428983368;
-2212;	0.938;	-1;	14.495015450363653;	0.9979127381833852;
-2212;	0.938;	-1;	12.81828147840829;	0.9973332877387222;
-2212;	0.938;	-1;	5.949200395923472;	0.9877974070549332;
-2212;	0.938;	-1;	2.110754152623834;	0.9138296974500096;
-2212;	0.938;	-1;	13.60347743306284;	0.9976311883981845;
-2212;	0.938;	-1;	5.721362626996561;	0.9868256907194877;
-2212;	0.938;	-1;	6.673218948947358;	0.9902652004444606;
-2212;	0.938;	-1;	1.2825525938288067;	0.807166203100878;
-2212;	0.938;	-1;	8.606954839969127;	0.994113882215024;
-2212;	0.938;	-1;	3.1361540880192735;	0.9580652636293681;
-2212;	0.938;	-1;	2.7260812495796967;	0.9455895648803768;
-2212;	0.938;	-1;	13.87927504202669;	0.9977240772649051;
-2212;	0.938;	-1;	19.53683991095451;	0.9988494195092701;
-2212;	0.938;	-1;	3.8092830487278047;	0.9709953333896945;
-2212;	0.938;	-1;	5.928785920046363;	0.9877147733645358;
-2212;	0.938;	-1;	2.265813898268587;	0.9239560474377569;
-2212;	0.938;	-1;	9.337264270210346;	0.9949919991474931;
-2212;	0.938;	-1;	3.920094919802453;	0.9725459972372511;
-2212;	0.938;	-1;	1.181773574546732;	0.7832616426052124;
-2212;	0.938;	-1;	4.992500512322858;	0.982804152447062;
-2212;	0.938;	-1;	5.502158040774511;	0.9857777939222268;
-2212;	0.938;	-1;	10.95043873490093;	0.9963513626890258;
-2212;	0.938;	-1;	9.424153511383622;	0.9950832426265808;
-2212;	0.938;	-1;	38.5139335618351;	0.9997035531935959;
-2212;	0.938;	-1;	9.258095346453342;	0.9949066389758191;
-2212;	0.938;	-1;	6.666080555673251;	0.9902446444571202;
-2212;	0.938;	-1;	2.0908029662569834;	0.912388178356721;
-2212;	0.938;	-1;	14.954587021324595;	0.9980386834848368;
-2212;	0.938;	-1;	2.693386811533204;	0.9443694576947875;
-2212;	0.938;	-1;	3.045275584351932;	0.9556914498131821;
-2212;	0.938;	-1;	19.930587992448014;	0.9988943574813092;
-2212;	0.938;	-1;	16.354758139422746;	0.9983593436904313;
-2212;	0.938;	-1;	13.908178324158632;	0.9977334947519717;
-2212;	0.938;	-1;	6.673072141429688;	0.9902647783433882;
-2212;	0.938;	-1;	4.16981060631727;	0.9756201465353331;
-2212;	0.938;	-1;	1.9918216282269916;	0.9047010422597899;
-2212;	0.938;	-1;	5.679842867324698;	0.9866362357702817;
-2212;	0.938;	-1;	10.175396556110472;	0.9957780233407191;
-2212;	0.938;	-1;	8.088251471401776;	0.9933424799887387;
-2212;	0.938;	-1;	6.931538050546142;	0.9909676408397152;
-2212;	0.938;	-1;	4.078879405314161;	0.9745626111789145;
-2212;	0.938;	-1;	16.191867279458137;	0.9983262507538715;
-2212;	0.938;	-1;	7.6349071797174455;	0.9925374803866213;
-2212;	0.938;	-1;	2.1142892920468572;	0.91408157218657;
-2212;	0.938;	-1;	5.46272732408721;	0.9855761741506407;
-2212;	0.938;	-1;	3.131758013033574;	0.9579547788014514;
-2212;	0.938;	-1;	2.2185200542979455;	0.9210573061087793;
-2212;	0.938;	-1;	5.751584582853754;	0.9869610880143437;
-2212;	0.938;	-1;	1.1563602488516769;	0.7766208244020605;
-2212;	0.938;	-1;	22.88740230606303;	0.9991612432941136;
-2212;	0.938;	-1;	8.987516431722447;	0.994597858283842;
-2212;	0.938;	-1;	5.683578280818785;	0.986653446119425;
-2212;	0.938;	-1;	3.472149079147524;	0.9653927064938294;
-2212;	0.938;	-1;	2.4289291230962253;	0.9328562089371898;
-2212;	0.938;	-1;	1.0690789467401367;	0.7516854048561118;
-2212;	0.938;	-1;	3.672263431335094;	0.9688923568893842;
-2212;	0.938;	-1;	17.899383835162624;	0.9986297299877801;
-2212;	0.938;	-1;	19.32372894105276;	0.9988239463047833;
-2212;	0.938;	-1;	16.097751465027468;	0.9983066721556919;
-2212;	0.938;	-1;	28.348778062228536;	0.9994530462918351;
-2212;	0.938;	-1;	1.9716349414234775;	0.9030158036385498;
-2212;	0.938;	-1;	13.104736835103589;	0.9974481554447395;
-2212;	0.938;	-1;	5.214434275710717;	0.9842030024870765;
-2212;	0.938;	-1;	4.940002118947449;	0.9824463415172525;
-2212;	0.938;	-1;	4.368523937120295;	0.9777157715484148;
-2212;	0.938;	-1;	5.084302065010497;	0.9834042863082828;
-2212;	0.938;	-1;	5.912638387097675;	0.9876488191160699;
-2212;	0.938;	-1;	12.746589302229674;	0.9973033275305782;
-2212;	0.938;	-1;	24.00739657618637;	0.9992375898646335;
-2212;	0.938;	-1;	4.461111448109764;	0.9786019951398137;
-2212;	0.938;	-1;	8.093226955041914;	0.993350581737865;
-2212;	0.938;	-1;	14.269011979457057;	0.9978463104174046;
-2212;	0.938;	-1;	25.12235900482389;	0.9993036925240629;
-2212;	0.938;	-1;	7.190472606304331;	0.9915984254131139;
-2212;	0.938;	-1;	4.324729120290657;	0.9772775040853984;
-2212;	0.938;	-1;	12.26192088940917;	0.997086884494282;
-2212;	0.938;	-1;	8.397461904779204;	0.9938192861081137;
-2212;	0.938;	-1;	4.281352246457771;	0.9768307017560652;
-2212;	0.938;	-1;	1.6324579268958204;	0.8670585043807403;
-2212;	0.938;	-1;	3.557956404315404;	0.966961021303168;
-2212;	0.938;	-1;	18.764529082110748;	0.9987529399601435;
-2212;	0.938;	-1;	7.204730139102089;	0.9916312286403672;
-2212;	0.938;	-1;	1.7481037022665444;	0.881161709690919;
-2212;	0.938;	-1;	4.025492761454304;	0.9739097805352867;
-2212;	0.938;	-1;	6.445909107568381;	0.989577401205034;
-2212;	0.938;	-1;	4.4149611335623655;	0.9781669244053631;
-2212;	0.938;	-1;	2.7377718360252374;	0.9460163810637355;
-2212;	0.938;	-1;	21.7530211379233;	0.9990716079853256;
-2212;	0.938;	-1;	10.482446222219124;	0.9960202865041257;
-2212;	0.938;	-1;	17.212331369682403;	0.9985184023701672;
-2212;	0.938;	-1;	1.2428461766228354;	0.7981882592558777;
-2212;	0.938;	-1;	17.593571818304834;	0.9985817819995129;
-2212;	0.938;	-1;	3.374257189907327;	0.9634658814600677;
-2212;	0.938;	-1;	8.005494708918432;	0.9932055312974531;
-2212;	0.938;	-1;	4.519845426037157;	0.9791373342110055;
-2212;	0.938;	-1;	1.6544814669841426;	0.8699183093830867;
-2212;	0.938;	-1;	2.0277532799650455;	0.9075990531182057;
-2212;	0.938;	-1;	5.679757272224052;	0.9866358410164432;
-2212;	0.938;	-1;	3.1721043463229592;	0.9589530041406079;
-2212;	0.938;	-1;	3.3936258542863857;	0.9638594487359263;
-2212;	0.938;	-1;	3.5174008527462433;	0.9662331313890077;
-2212;	0.938;	-1;	1.6139432978233776;	0.8645861148479035;
-2212;	0.938;	-1;	3.859734247075827;	0.9717169739870858;
-2212;	0.938;	-1;	11.602896516106323;	0.9967482251041115;
-2212;	0.938;	-1;	4.5270867624656805;	0.9792019568611849;
-2212;	0.938;	-1;	3.397257190738582;	0.9639325414645247;
-2212;	0.938;	-1;	5.789746928082522;	0.9871291167101635;
-2212;	0.938;	-1;	2.0158831393337264;	0.9066557585283671;
-2212;	0.938;	-1;	3.191884524453853;	0.9594297223530676;
-2212;	0.938;	-1;	8.434814197303044;	0.9938734046888488;
-2212;	0.938;	-1;	7.716153036373307;	0.9926920942055774;
-2212;	0.938;	-1;	4.731495409216373;	0.9809101502416517;
-2212;	0.938;	-1;	8.65624765534097;	0.9941801456753093;
-2212;	0.938;	-1;	3.9283044091931063;	0.9726559670771393;
-2212;	0.938;	-1;	5.6859721727796915;	0.9866644582550347;
-2212;	0.938;	-1;	9.975643121804678;	0.995608371134142;
-2212;	0.938;	-1;	0.6788100149085899;	0.5862653870911637;
-2212;	0.938;	-1;	2.546618942754687;	0.9383703705851303;
-2212;	0.938;	-1;	11.02154154240363;	0.9963980342126645;
-2212;	0.938;	-1;	5.821073443594746;	0.9872646470973765;
-2212;	0.938;	-1;	12.878199322710026;	0.9973579465801511;
-2212;	0.938;	-1;	7.005049003847224;	0.9911537223925364;
-2212;	0.938;	-1;	15.0954318655849;	0.9980750069509547;
-2212;	0.938;	-1;	6.817082943425582;	0.9906660669387345;
-2212;	0.938;	-1;	18.530141308194306;	0.9987212531770702;
-2212;	0.938;	-1;	17.677454676231708;	0.9985951812083067;
-2212;	0.938;	-1;	14.188518021043812;	0.9978218845884241;
-2212;	0.938;	-1;	6.490567096381102;	0.9897181352394812;
-2212;	0.938;	-1;	13.776420422356818;	0.9976900844686651;
-2212;	0.938;	-1;	18.221444352516325;	0.9986776452463137;
-2212;	0.938;	-1;	4.100513964829775;	0.9748202954860239;
-2212;	0.938;	-1;	7.656030702088453;	0.9925781461308822;
-2212;	0.938;	-1;	1.3571447546566284;	0.822634978850576;
-2212;	0.938;	-1;	2.4367400928925513;	0.9332439036790128;
-2212;	0.938;	-1;	10.756802303441761;	0.9962195705980915;
-2212;	0.938;	-1;	13.300358886551356;	0.9975223919272063;
-2212;	0.938;	-1;	11.27798419403632;	0.9965591424802989;
-2212;	0.938;	-1;	17.62812986840829;	0.9985873253106875;
-2212;	0.938;	-1;	6.151518816573757;	0.9885733960251732;
-2212;	0.938;	-1;	4.584400709205185;	0.9797031125076411;
-2212;	0.938;	-1;	0.5980492350877141;	0.537604786644123;
-2212;	0.938;	-1;	12.401150403569662;	0.9971516516018831;
-2212;	0.938;	-1;	3.9538037323085478;	0.9729934174942241;
-2212;	0.938;	-1;	4.691495053579185;	0.9805926926409554;
-2212;	0.938;	-1;	1.8156142388128598;	0.8884393476754122;
