# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=105689682
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
0;	0.008750886944027123;	0
0.008750886944027123;	0.017501773888054246;	3014615
0.017501773888054246;	0.02625266083208137;	2903136
0.02625266083208137;	0.03500354777610849;	3332337
0.03500354777610849;	0.04375443472013561;	3496330
0.04375443472013561;	0.05250532166416274;	3516908
0.05250532166416274;	0.061256208608189866;	3466529
0.061256208608189866;	0.07000709555221699;	3367239
0.07000709555221699;	0.0787579824962441;	3251220
0.0787579824962441;	0.08750886944027123;	3116248
0.08750886944027123;	0.09625975638429836;	2975372
0.09625975638429836;	0.10501064332832548;	2833859
0.10501064332832548;	0.1137615302723526;	2695151
0.1137615302723526;	0.12251241721637973;	2561516
0.12251241721637973;	0.13126330416040685;	2429378
0.13126330416040685;	0.14001419110443397;	2299634
0.14001419110443397;	0.1487650780484611;	2181758
0.1487650780484611;	0.1575159649924882;	2071282
0.1575159649924882;	0.16626685193651533;	1965869
0.16626685193651533;	0.17501773888054245;	1865413
0.17501773888054245;	0.1837686258245696;	1772020
0.1837686258245696;	0.19251951276859672;	1683148
0.19251951276859672;	0.20127039971262384;	1600729
0.20127039971262384;	0.21002128665665096;	1526336
0.21002128665665096;	0.21877217360067808;	1450068
0.21877217360067808;	0.2275230605447052;	1384053
0.2275230605447052;	0.23627394748873232;	1319704
0.23627394748873232;	0.24502483443275946;	1260473
0.24502483443275946;	0.25377572137678656;	1199338
0.25377572137678656;	0.2625266083208137;	1150478
0.2625266083208137;	0.2712774952648408;	1100202
0.2712774952648408;	0.28002838220886794;	1051435
0.28002838220886794;	0.2887792691528951;	1008202
0.2887792691528951;	0.2975301560969222;	966032
0.2975301560969222;	0.30628104304094933;	927461
0.30628104304094933;	0.3150319299849764;	886333
0.3150319299849764;	0.32378281692900357;	851110
0.32378281692900357;	0.33253370387303066;	818066
0.33253370387303066;	0.3412845908170578;	785992
0.3412845908170578;	0.3500354777610849;	757852
0.3500354777610849;	0.35878636470511205;	727676
0.35878636470511205;	0.3675372516491392;	702439
0.3675372516491392;	0.3762881385931663;	675486
0.3762881385931663;	0.38503902553719344;	650757
0.38503902553719344;	0.3937899124812205;	628001
0.3937899124812205;	0.4025407994252477;	605996
0.4025407994252477;	0.41129168636927477;	583693
0.41129168636927477;	0.4200425733133019;	565003
0.4200425733133019;	0.42879346025732906;	545818
0.42879346025732906;	0.43754434720135615;	526735
0.43754434720135615;	0.4462952341453833;	509617
0.4462952341453833;	0.4550461210894104;	493750
0.4550461210894104;	0.46379700803343754;	476582
0.46379700803343754;	0.47254789497746463;	460402
0.47254789497746463;	0.4812987819214918;	447452
0.4812987819214918;	0.49004966886551893;	433914
0.49004966886551893;	0.498800555809546;	420182
0.498800555809546;	0.5075514427535731;	406964
0.5075514427535731;	0.5163023296976003;	393852
0.5163023296976003;	0.5250532166416274;	382649
0.5250532166416274;	0.5338041035856546;	371944
0.5338041035856546;	0.5425549905296816;	360256
0.5425549905296816;	0.5513058774737087;	350499
0.5513058774737087;	0.5600567644177359;	339613
0.5600567644177359;	0.568807651361763;	330853
0.568807651361763;	0.5775585383057902;	321513
0.5775585383057902;	0.5863094252498172;	311690
0.5863094252498172;	0.5950603121938444;	305241
0.5950603121938444;	0.6038111991378715;	295731
0.6038111991378715;	0.6125620860818987;	288251
0.6125620860818987;	0.6213129730259257;	279885
0.6213129730259257;	0.6300638599699528;	272409
0.6300638599699528;	0.63881474691398;	265674
0.63881474691398;	0.6475656338580071;	259289
0.6475656338580071;	0.6563165208020343;	252854
0.6563165208020343;	0.6650674077460613;	245936
0.6650674077460613;	0.6738182946900885;	240346
0.6738182946900885;	0.6825691816341156;	234900
0.6825691816341156;	0.6913200685781428;	228936
0.6913200685781428;	0.7000709555221698;	222207
0.7000709555221698;	0.708821842466197;	216999
0.708821842466197;	0.7175727294102241;	212065
0.7175727294102241;	0.7263236163542512;	207149
0.7263236163542512;	0.7350745032982784;	202425
0.7350745032982784;	0.7438253902423054;	197183
0.7438253902423054;	0.7525762771863326;	192964
0.7525762771863326;	0.7613271641303597;	188441
0.7613271641303597;	0.7700780510743869;	184517
0.7700780510743869;	0.778828938018414;	180695
0.778828938018414;	0.787579824962441;	176442
