# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=31645
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	16.309118872802042;	0.9983501711951517;
-2212;	0.938;	-1;	32.123930489684476;	0.9995739694694021;
-2212;	0.938;	-1;	5.440253560669852;	0.9854593499624446;
-2212;	0.938;	-1;	5.363099089116665;	0.9850473765876002;
-2212;	0.938;	-1;	0.702017013573033;	0.5991896014338826;
-2212;	0.938;	-1;	0.8993397513848701;	0.6920750578395569;
-2212;	0.938;	-1;	11.053212991177633;	0.996418535905512;
-2212;	0.938;	-1;	17.012461818223134;	0.9984834646266035;
-2212;	0.938;	-1;	3.5110436808910537;	0.9661168928717502;
-2212;	0.938;	-1;	4.40165257100853;	0.978039022478144;
-2212;	0.938;	-1;	4.850558261093768;	0.981810716587948;
-2212;	0.938;	-1;	9.415429167167314;	0.9950741939071732;
-2212;	0.938;	-1;	3.264809457264696;	0.9611187511743329;
-2212;	0.938;	-1;	3.317864036428256;	0.9622833812303153;
-2212;	0.938;	-1;	10.612109402645688;	0.9961163816406019;
-2212;	0.938;	-1;	4.005168368143467;	0.9736547157744988;
-2212;	0.938;	-1;	9.818915312479072;	0.9954680146438495;
-2212;	0.938;	-1;	7.383026406895819;	0.992025787578875;
-2212;	0.938;	-1;	1.1490230385679827;	0.7746539311129282;
-2212;	0.938;	-1;	5.1843007257081455;	0.9840232202542094;
-2212;	0.938;	-1;	4.369598245768712;	0.9777263644595783;
-2212;	0.938;	-1;	19.175594086736922;	0.9988057383376381;
-2212;	0.938;	-1;	2.056318580771688;	0.9098140162231704;
-2212;	0.938;	-1;	3.9407957537518996;	0.9728220484054564;
-2212;	0.938;	-1;	27.993508593368144;	0.9994390870198552;
-2212;	0.938;	-1;	2.49200130267482;	0.9358963775094894;
-2212;	0.938;	-1;	13.64786433171139;	0.9976465172336072;
-2212;	0.938;	-1;	3.087607067369325;	0.9568210613791645;
-2212;	0.938;	-1;	12.486771176329018;	0.997190415564031;
-2212;	0.938;	-1;	1.3966145445673261;	0.8301460002532352;
-2212;	0.938;	-1;	9.810260133317056;	0.9954600687555519;
-2212;	0.938;	-1;	10.252651839579652;	0.9958410152051077;
-2212;	0.938;	-1;	8.044055173266095;	0.9932698613554554;
-2212;	0.938;	-1;	12.206304044286705;	0.9970603945641963;
-2212;	0.938;	-1;	4.90889867586142;	0.9822291054357735;
-2212;	0.938;	-1;	1.712140112968854;	0.8770100524286051;
