# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=63769026
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
0;	0.008750886944027123;	0
0.008750886944027123;	0.017501773888054246;	514841
0.017501773888054246;	0.02625266083208137;	1187489
0.02625266083208137;	0.03500354777610849;	1135612
0.03500354777610849;	0.04375443472013561;	854820
0.04375443472013561;	0.05250532166416274;	816868
0.05250532166416274;	0.061256208608189866;	862076
0.061256208608189866;	0.07000709555221699;	903368
0.07000709555221699;	0.0787579824962441;	939427
0.0787579824962441;	0.08750886944027123;	968824
0.08750886944027123;	0.09625975638429836;	994884
0.09625975638429836;	0.10501064332832548;	1012115
0.10501064332832548;	0.1137615302723526;	1024314
0.1137615302723526;	0.12251241721637973;	1031997
0.12251241721637973;	0.13126330416040685;	1035608
0.13126330416040685;	0.14001419110443397;	1034399
0.14001419110443397;	0.1487650780484611;	1029605
0.1487650780484611;	0.1575159649924882;	1022323
0.1575159649924882;	0.16626685193651533;	1012388
0.16626685193651533;	0.17501773888054245;	1003312
0.17501773888054245;	0.1837686258245696;	987882
0.1837686258245696;	0.19251951276859672;	972165
0.19251951276859672;	0.20127039971262384;	959766
0.20127039971262384;	0.21002128665665096;	943038
0.21002128665665096;	0.21877217360067808;	924438
0.21877217360067808;	0.2275230605447052;	908324
0.2275230605447052;	0.23627394748873232;	888518
0.23627394748873232;	0.24502483443275946;	870586
0.24502483443275946;	0.25377572137678656;	851484
0.25377572137678656;	0.2625266083208137;	832907
0.2625266083208137;	0.2712774952648408;	813374
0.2712774952648408;	0.28002838220886794;	793871
0.28002838220886794;	0.2887792691528951;	775767
0.2887792691528951;	0.2975301560969222;	754938
0.2975301560969222;	0.30628104304094933;	737699
0.30628104304094933;	0.3150319299849764;	718953
0.3150319299849764;	0.32378281692900357;	699935
0.32378281692900357;	0.33253370387303066;	681404
0.33253370387303066;	0.3412845908170578;	663338
0.3412845908170578;	0.3500354777610849;	646623
0.3500354777610849;	0.35878636470511205;	630915
0.35878636470511205;	0.3675372516491392;	613148
0.3675372516491392;	0.3762881385931663;	597137
0.3762881385931663;	0.38503902553719344;	579809
0.38503902553719344;	0.3937899124812205;	565582
0.3937899124812205;	0.4025407994252477;	549374
0.4025407994252477;	0.41129168636927477;	535494
0.41129168636927477;	0.4200425733133019;	520267
0.4200425733133019;	0.42879346025732906;	505370
0.42879346025732906;	0.43754434720135615;	493422
0.43754434720135615;	0.4462952341453833;	480037
0.4462952341453833;	0.4550461210894104;	466312
0.4550461210894104;	0.46379700803343754;	455788
0.46379700803343754;	0.47254789497746463;	442743
0.47254789497746463;	0.4812987819214918;	430038
0.4812987819214918;	0.49004966886551893;	419418
0.49004966886551893;	0.498800555809546;	408951
0.498800555809546;	0.5075514427535731;	397578
0.5075514427535731;	0.5163023296976003;	387238
0.5163023296976003;	0.5250532166416274;	376253
0.5250532166416274;	0.5338041035856546;	366353
0.5338041035856546;	0.5425549905296816;	356323
0.5425549905296816;	0.5513058774737087;	348404
0.5513058774737087;	0.5600567644177359;	339466
0.5600567644177359;	0.568807651361763;	331955
0.568807651361763;	0.5775585383057902;	322866
0.5775585383057902;	0.5863094252498172;	313456
0.5863094252498172;	0.5950603121938444;	306350
0.5950603121938444;	0.6038111991378715;	298758
0.6038111991378715;	0.6125620860818987;	292355
0.6125620860818987;	0.6213129730259257;	284936
0.6213129730259257;	0.6300638599699528;	277584
0.6300638599699528;	0.63881474691398;	271465
0.63881474691398;	0.6475656338580071;	264298
0.6475656338580071;	0.6563165208020343;	257011
0.6563165208020343;	0.6650674077460613;	250552
0.6650674077460613;	0.6738182946900885;	245532
0.6738182946900885;	0.6825691816341156;	240666
0.6825691816341156;	0.6913200685781428;	234210
0.6913200685781428;	0.7000709555221698;	229277
0.7000709555221698;	0.708821842466197;	223443
0.708821842466197;	0.7175727294102241;	218190
0.7175727294102241;	0.7263236163542512;	213250
0.7263236163542512;	0.7350745032982784;	209372
0.7350745032982784;	0.7438253902423054;	203892
0.7438253902423054;	0.7525762771863326;	200275
0.7525762771863326;	0.7613271641303597;	195130
0.7613271641303597;	0.7700780510743869;	191005
0.7700780510743869;	0.778828938018414;	186796
0.778828938018414;	0.787579824962441;	183252
0.787579824962441;	0.7963307119064682;	178483
