# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=616
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	6.2765375390994835;	0.9890166654323315;
-2212;	0.938;	-1;	0.3519501699321085;	0.35129860200277874;
-2212;	0.938;	-1;	2.040223391223863;	0.9085754385030671;
-2212;	0.938;	-1;	0.80103726693956;	0.6494056635310598;
-2212;	0.938;	-1;	3.111947453042387;	0.9574515486635328;
-2212;	0.938;	-1;	5.223358321017715;	0.9842556673539427;
-2212;	0.938;	-1;	0.5615580795592121;	0.5136602235592671;
-2212;	0.938;	-1;	0.9359388520786227;	0.7063286062131007;
-2212;	0.938;	-1;	0.738177488211338;	0.6184313017496721;
-2212;	0.938;	-1;	2.3448141150933477;	0.9284665382496912;
-2212;	0.938;	-1;	3.86886798521092;	0.9718447789169472;
-2212;	0.938;	-1;	5.459899015714943;	0.9855615489385802;
-2212;	0.938;	-1;	6.4052222405415415;	0.9894466644299312;
-2212;	0.938;	-1;	4.582725938480829;	0.9796887236851477;
-2212;	0.938;	-1;	4.196167348559516;	0.9759145105143686;
-2212;	0.938;	-1;	2.6454795226879004;	0.9425083967889035;
-2212;	0.938;	-1;	3.047204474530713;	0.9557438592784546;
-2212;	0.938;	-1;	0.8162200067690083;	0.6564387203172107;
-2212;	0.938;	-1;	4.790097125077633;	0.9813614836331861;
-2212;	0.938;	-1;	5.5793477035650865;	0.9861605222272928;
-2212;	0.938;	-1;	2.2720459457768456;	0.9243265488975345;
-2212;	0.938;	-1;	4.63235903047437;	0.9801088092455498;
-2212;	0.938;	-1;	2.0388450549418904;	0.9084682436121364;
-2212;	0.938;	-1;	2.4414179331773576;	0.9334745362867591;
-2212;	0.938;	-1;	6.176661602751522;	0.9886646606825809;
-2212;	0.938;	-1;	3.1618489636352862;	0.9587025967880441;
-2212;	0.938;	-1;	2.7469508934789864;	0.9463480894833286;
-2212;	0.938;	-1;	1.5678122000951644;	0.8581411715232273;
-2212;	0.938;	-1;	1.7885699235660315;	0.8856014402111344;
-2212;	0.938;	-1;	7.453547455976114;	0.9921742100047186;
-2212;	0.938;	-1;	2.0358701267860875;	0.9082362672577575;
-2212;	0.938;	-1;	3.237346050048712;	0.9604950138332455;
-2212;	0.938;	-1;	1.695590722832901;	0.8750310602628558;
-2212;	0.938;	-1;	3.11319807244014;	0.9574835777494064;
-2212;	0.938;	-1;	1.6580754402619926;	0.870376831365767;
-2212;	0.938;	-1;	0.8124758877735943;	0.6547200039226992;
-2212;	0.938;	-1;	4.099271644856808;	0.9748056033301364;
-2212;	0.938;	-1;	5.10996248604136;	0.9835664676768122;
-2212;	0.938;	-1;	2.011959251829172;	0.9063409136459062;
-2212;	0.938;	-1;	0.6049291581805262;	0.5419800097375108;
-2212;	0.938;	-1;	0.26850353884234024;	0.2751982373629639;
-2212;	0.938;	-1;	4.820580722073327;	0.9815900157609315;
-2212;	0.938;	-1;	3.399211362510581;	0.9639717856195573;
-2212;	0.938;	-1;	4.995009772547097;	0.9828209823575453;
-2212;	0.938;	-1;	1.0479642199545747;	0.7451184151039398;
-2212;	0.938;	-1;	8.41141244902638;	0.9938395819506749;
-2212;	0.938;	-1;	5.1709295049211415;	0.9839424685915615;
-2212;	0.938;	-1;	0.3982748554023089;	0.3908288076365392;
-2212;	0.938;	-1;	1.4425026805607677;	0.838344479152985;
-2212;	0.938;	-1;	1.3459067100557156;	0.8204142341888965;
-2212;	0.938;	-1;	4.772042859643865;	0.9812241398076627;
-2212;	0.938;	-1;	6.563392648453409;	0.9899416269117663;
-2212;	0.938;	-1;	3.3179637316462633;	0.9622855211382064;
-2212;	0.938;	-1;	1.5257800694493948;	0.8518928854978544;
-2212;	0.938;	-1;	0.9681962742801689;	0.7182180314875588;
-2212;	0.938;	-1;	7.6623046198973315;	0.9925901605265448;
-2212;	0.938;	-1;	1.8773025184980843;	0.8945512888664656;
-2212;	0.938;	-1;	3.8707961930389723;	0.9718716504186404;
-2212;	0.938;	-1;	3.564947351429471;	0.9670841533616277;
-2212;	0.938;	-1;	0.48218974999678293;	0.45719035333187524;
-2212;	0.938;	-1;	6.220562512255885;	0.9888214285445404;
-2212;	0.938;	-1;	1.1788253945360185;	0.7825046789481235;
-2212;	0.938;	-1;	1.695590722832901;	0.8750310602628558;
-2212;	0.938;	-1;	3.037883290880675;	0.9554897505710533;
-2212;	0.938;	-1;	1.9277299476267415;	0.8992010600995017;
-2212;	0.938;	-1;	3.4003925322569746;	0.9639954756784481;
-2212;	0.938;	-1;	2.016333287213203;	0.9066917809192346;
-2212;	0.938;	-1;	1.0380439102200831;	0.7419561601572636;
-2212;	0.938;	-1;	5.0601696130780045;	0.9832495801771584;
-2212;	0.938;	-1;	2.2765876117055632;	0.9245949190743166;
