# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=63071405
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
0;	0.008750886944027123;	1050000
0.008750886944027123;	0.017501773888054246;	365832
0.017501773888054246;	0.02625266083208137;	955873
0.02625266083208137;	0.03500354777610849;	1014060
0.03500354777610849;	0.04375443472013561;	844331
0.04375443472013561;	0.05250532166416274;	822401
0.05250532166416274;	0.061256208608189866;	867988
0.061256208608189866;	0.07000709555221699;	906246
0.07000709555221699;	0.0787579824962441;	941202
0.0787579824962441;	0.08750886944027123;	970056
0.08750886944027123;	0.09625975638429836;	993337
0.09625975638429836;	0.10501064332832548;	1009039
0.10501064332832548;	0.1137615302723526;	1021245
0.1137615302723526;	0.12251241721637973;	1027409
0.12251241721637973;	0.13126330416040685;	1028068
0.13126330416040685;	0.14001419110443397;	1026298
0.14001419110443397;	0.1487650780484611;	1024048
0.1487650780484611;	0.1575159649924882;	1015663
0.1575159649924882;	0.16626685193651533;	1005899
0.16626685193651533;	0.17501773888054245;	994072
0.17501773888054245;	0.1837686258245696;	979388
0.1837686258245696;	0.19251951276859672;	966277
0.19251951276859672;	0.20127039971262384;	950581
0.20127039971262384;	0.21002128665665096;	931522
0.21002128665665096;	0.21877217360067808;	915666
0.21877217360067808;	0.2275230605447052;	897943
0.2275230605447052;	0.23627394748873232;	878612
0.23627394748873232;	0.24502483443275946;	859512
0.24502483443275946;	0.25377572137678656;	840828
0.25377572137678656;	0.2625266083208137;	822439
0.2625266083208137;	0.2712774952648408;	802621
0.2712774952648408;	0.28002838220886794;	783895
0.28002838220886794;	0.2887792691528951;	764338
0.2887792691528951;	0.2975301560969222;	746208
0.2975301560969222;	0.30628104304094933;	726497
0.30628104304094933;	0.3150319299849764;	707704
0.3150319299849764;	0.32378281692900357;	689352
0.32378281692900357;	0.33253370387303066;	671391
0.33253370387303066;	0.3412845908170578;	652485
0.3412845908170578;	0.3500354777610849;	635959
0.3500354777610849;	0.35878636470511205;	619226
0.35878636470511205;	0.3675372516491392;	601784
0.3675372516491392;	0.3762881385931663;	586448
0.3762881385931663;	0.38503902553719344;	570779
0.38503902553719344;	0.3937899124812205;	553703
0.3937899124812205;	0.4025407994252477;	540390
0.4025407994252477;	0.41129168636927477;	525569
0.41129168636927477;	0.4200425733133019;	511556
0.4200425733133019;	0.42879346025732906;	496872
0.42879346025732906;	0.43754434720135615;	483710
0.43754434720135615;	0.4462952341453833;	470595
0.4462952341453833;	0.4550461210894104;	459070
0.4550461210894104;	0.46379700803343754;	447039
0.46379700803343754;	0.47254789497746463;	433393
0.47254789497746463;	0.4812987819214918;	423079
0.4812987819214918;	0.49004966886551893;	411087
0.49004966886551893;	0.498800555809546;	400352
0.498800555809546;	0.5075514427535731;	390263
0.5075514427535731;	0.5163023296976003;	379942
0.5163023296976003;	0.5250532166416274;	369917
0.5250532166416274;	0.5338041035856546;	359489
0.5338041035856546;	0.5425549905296816;	350849
0.5425549905296816;	0.5513058774737087;	341272
0.5513058774737087;	0.5600567644177359;	332127
0.5600567644177359;	0.568807651361763;	324755
0.568807651361763;	0.5775585383057902;	316703
0.5775585383057902;	0.5863094252498172;	308108
0.5863094252498172;	0.5950603121938444;	299982
0.5950603121938444;	0.6038111991378715;	292539
0.6038111991378715;	0.6125620860818987;	284968
0.6125620860818987;	0.6213129730259257;	278647
0.6213129730259257;	0.6300638599699528;	271869
0.6300638599699528;	0.63881474691398;	265288
0.63881474691398;	0.6475656338580071;	258665
0.6475656338580071;	0.6563165208020343;	252669
0.6563165208020343;	0.6650674077460613;	247145
0.6650674077460613;	0.6738182946900885;	241369
0.6738182946900885;	0.6825691816341156;	234332
0.6825691816341156;	0.6913200685781428;	229940
0.6913200685781428;	0.7000709555221698;	224497
0.7000709555221698;	0.708821842466197;	219579
0.708821842466197;	0.7175727294102241;	214116
0.7175727294102241;	0.7263236163542512;	208936
0.7263236163542512;	0.7350745032982784;	204069
0.7350745032982784;	0.7438253902423054;	199452
0.7438253902423054;	0.7525762771863326;	194656
0.7525762771863326;	0.7613271641303597;	190502
0.7613271641303597;	0.7700780510743869;	186737
0.7700780510743869;	0.778828938018414;	181966
0.778828938018414;	0.787579824962441;	178408
0.787579824962441;	0.7963307119064682;	175368
0.7963307119064682;	0.8050815988504954;	170750
0.8050815988504954;	0.8138324857945225;	167257
0.8138324857945225;	0.8225833727385495;	163364
0.8225833727385495;	0.8313342596825767;	160736
0.8313342596825767;	0.8400851466266038;	157078
0.8400851466266038;	0.848836033570631;	154423
0.848836033570631;	0.8575869205146581;	150942
0.8575869205146581;	0.8663378074586852;	147541
0.8663378074586852;	0.8750886944027123;	144731
0.8750886944027123;	0.8838395813467395;	142155
0.8838395813467395;	0.8925904682907666;	139286
0.8925904682907666;	0.9013413552347936;	136163
0.9013413552347936;	0.9100922421788208;	133952
0.9100922421788208;	0.9188431291228479;	130788
0.9188431291228479;	0.9275940160668751;	128512
