# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=554
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	1.639540728343764;	0.8679877025622358;
-2212;	0.938;	-1;	1.1057779582958778;	0.7625893676284138;
-2212;	0.938;	-1;	2.125453592479732;	0.9148701257546381;
-2212;	0.938;	-1;	5.744536837480285;	0.9869296994435067;
-2212;	0.938;	-1;	3.793215625621881;	0.9707597904483257;
-2212;	0.938;	-1;	2.037120355409567;	0.9083338586495008;
-2212;	0.938;	-1;	3.5512271190640567;	0.9668418551778208;
-2212;	0.938;	-1;	2.7573664460462997;	0.9467208929950902;
-2212;	0.938;	-1;	4.104831498671292;	0.974871257758537;
-2212;	0.938;	-1;	1.1301834722229838;	0.7694987264188808;
-2212;	0.938;	-1;	1.5028093593802907;	0.8483167625197059;
-2212;	0.938;	-1;	2.7257244577792523;	0.9455764613473416;
-2212;	0.938;	-1;	8.402000762198725;	0.9938259003898747;
-2212;	0.938;	-1;	4.497832019419578;	0.9789390432611992;
-2212;	0.938;	-1;	0.8420375894893292;	0.6680163910333833;
-2212;	0.938;	-1;	4.048091943195941;	0.974189124290885;
-2212;	0.938;	-1;	2.445604088316578;	0.9336799500278639;
-2212;	0.938;	-1;	5.7356748052145665;	0.9868900705158131;
-2212;	0.938;	-1;	5.572953443358198;	0.9861294039839729;
-2212;	0.938;	-1;	0.3452674128169463;	0.3454309117749614;
-2212;	0.938;	-1;	5.326200580630436;	0.9848441857917578;
-2212;	0.938;	-1;	4.239478062411575;	0.9763869101209925;
-2212;	0.938;	-1;	4.284665378287551;	0.9768652860239249;
-2212;	0.938;	-1;	9.555987360487665;	0.9952170043968197;
-2212;	0.938;	-1;	1.2424481008496893;	0.7980954549274346;
-2212;	0.938;	-1;	1.4501695142637636;	0.8396612492062097;
-2212;	0.938;	-1;	1.2899786111234557;	0.8087856671397096;
-2212;	0.938;	-1;	2.1632306186004238;	0.9174627526215019;
-2212;	0.938;	-1;	2.8804524988183715;	0.9508541078804229;
-2212;	0.938;	-1;	0.49765272580408926;	0.46867056822852565;
-2212;	0.938;	-1;	5.321661689875635;	0.984818907708971;
-2212;	0.938;	-1;	7.689906416680505;	0.9926426735944314;
-2212;	0.938;	-1;	0.16677790026838568;	0.17505606993671244;
-2212;	0.938;	-1;	0.7385785173622369;	0.6186387158445381;
-2212;	0.938;	-1;	1.5299000356794559;	0.8525219614155018;
-2212;	0.938;	-1;	0.6877673517793716;	0.5913081366496574;
-2212;	0.938;	-1;	1.4382093392705388;	0.83760063374173;
-2212;	0.938;	-1;	2.599784812734508;	0.9406476235728505;
-2212;	0.938;	-1;	4.508308663263974;	0.9790337613259966;
-2212;	0.938;	-1;	2.2296075635763795;	0.921750977362894;
-2212;	0.938;	-1;	0.8178684142360555;	0.657192187366807;
-2212;	0.938;	-1;	7.612711350069097;	0.9924943905053304;
-2212;	0.938;	-1;	2.9998836268637157;	0.9544313822204203;
-2212;	0.938;	-1;	2.119680914231784;	0.9144636926121438;
-2212;	0.938;	-1;	1.9478642656163185;	0.9009764604642763;
-2212;	0.938;	-1;	1.5675775691955438;	0.8581073138758741;
-2212;	0.938;	-1;	1.013046576509195;	0.7337628728010442;
-2212;	0.938;	-1;	5.711672821326166;	0.9867818357214875;
-2212;	0.938;	-1;	6.365834749004722;	0.989317758169682;
-2212;	0.938;	-1;	0.09520874762273684;	0.10098300096597691;
-2212;	0.938;	-1;	1.9816531985122927;	0.9038574136085856;
-2212;	0.938;	-1;	2.4093650928314574;	0.9318707310695785;
-2212;	0.938;	-1;	0.29046781939140864;	0.295808710261224;
-2212;	0.938;	-1;	1.4297284165102824;	0.8361174550978727;
-2212;	0.938;	-1;	0.30666708404717974;	0.3107509752095797;
-2212;	0.938;	-1;	2.5428756906934638;	0.9382052772812945;
-2212;	0.938;	-1;	1.6431345027845408;	0.868455713090419;
-2212;	0.938;	-1;	4.3798285649195225;	0.977826864482678;
-2212;	0.938;	-1;	4.771668001021132;	0.9812212722370655;
-2212;	0.938;	-1;	3.4163260514583498;	0.9643128161167469;
-2212;	0.938;	-1;	2.205825379918365;	0.9202521733233082;
-2212;	0.938;	-1;	3.662091989772512;	0.9687273471341008;
-2212;	0.938;	-1;	3.752584774102379;	0.9701513924914679;
-2212;	0.938;	-1;	3.4489181405450897;	0.9649492349958992;
-2212;	0.938;	-1;	5.828378997246051;	0.9872959477946304;
-2212;	0.938;	-1;	2.737118093990283;	0.9459926424402285;
-2212;	0.938;	-1;	3.5434281697570786;	0.9667029521718347;
-2212;	0.938;	-1;	0.7433057933704001;	0.621073959096388;
-2212;	0.938;	-1;	4.244079787487625;	0.9764362935569786;
-2212;	0.938;	-1;	4.1272752670769375;	0.9751337292137169;
-2212;	0.938;	-1;	3.061924436447771;	0.9561408355878919;
-2212;	0.938;	-1;	2.891496311610651;	0.9512018283882822;
-2212;	0.938;	-1;	1.1916484444340119;	0.7857719197405687;
-2212;	0.938;	-1;	3.5937531150664763;	0.9675844369367689;
-2212;	0.938;	-1;	3.7106591144384304;	0.9695037973349555;
-2212;	0.938;	-1;	1.2646219050012537;	0.8031794294927455;
-2212;	0.938;	-1;	0.7488215776278084;	0.6238928351300694;
-2212;	0.938;	-1;	1.8749500069874985;	0.8943270019362731;
-2212;	0.938;	-1;	2.9454197962499338;	0.9528490133884154;
-2212;	0.938;	-1;	3.080513618135943;	0.956634740725142;
-2212;	0.938;	-1;	2.6021083992028466;	0.9407443440088539;
-2212;	0.938;	-1;	4.232064965406486;	0.9763070332584108;
-2212;	0.938;	-1;	3.1952806813782417;	0.9595107538258028;
-2212;	0.938;	-1;	3.075426058990364;	0.95650038084606;
-2212;	0.938;	-1;	5.050961227647989;	0.9831899820649275;
-2212;	0.938;	-1;	4.6440237122172405;	0.9802056640577662;
-2212;	0.938;	-1;	0.8014402427017501;	0.6495945219932022;
-2212;	0.938;	-1;	6.316032905016566;	0.9891513775727849;
-2212;	0.938;	-1;	0.8685413456951834;	0.6794176455123934;
-2212;	0.938;	-1;	0.25882707998848364;	0.2659943771665254;
-2212;	0.938;	-1;	3.1553913465312036;	0.9585437675531545;
-2212;	0.938;	-1;	2.5748409115790047;	0.9395947054240524;
-2212;	0.938;	-1;	1.4455116960094132;	0.8388630323281794;
-2212;	0.938;	-1;	1.8399847330420978;	0.8909123052099168;
-2212;	0.938;	-1;	2.227473487098107;	0.921618145830917;
-2212;	0.938;	-1;	0.553100028409454;	0.507930878956466;
-2212;	0.938;	-1;	2.4890371859427893;	0.9357580149576133;
-2212;	0.938;	-1;	7.193141242115645;	0.9916045799090092;
-2212;	0.938;	-1;	2.8804524988183715;	0.9508541078804229;
-2212;	0.938;	-1;	4.277555640706781;	0.9767909764100688;
