# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=63691355
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
0;	0.008750886944027123;	0
0.008750886944027123;	0.017501773888054246;	373311
0.017501773888054246;	0.02625266083208137;	975637
0.02625266083208137;	0.03500354777610849;	1034676
0.03500354777610849;	0.04375443472013561;	865922
0.04375443472013561;	0.05250532166416274;	854944
0.05250532166416274;	0.061256208608189866;	899598
0.061256208608189866;	0.07000709555221699;	944363
0.07000709555221699;	0.0787579824962441;	983314
0.0787579824962441;	0.08750886944027123;	1014401
0.08750886944027123;	0.09625975638429836;	1037496
0.09625975638429836;	0.10501064332832548;	1055585
0.10501064332832548;	0.1137615302723526;	1068297
0.1137615302723526;	0.12251241721637973;	1073620
0.12251241721637973;	0.13126330416040685;	1075685
0.13126330416040685;	0.14001419110443397;	1075380
0.14001419110443397;	0.1487650780484611;	1072036
0.1487650780484611;	0.1575159649924882;	1062778
0.1575159649924882;	0.16626685193651533;	1052888
0.16626685193651533;	0.17501773888054245;	1039781
0.17501773888054245;	0.1837686258245696;	1026039
0.1837686258245696;	0.19251951276859672;	1011266
0.19251951276859672;	0.20127039971262384;	995859
0.20127039971262384;	0.21002128665665096;	975720
0.21002128665665096;	0.21877217360067808;	958287
0.21877217360067808;	0.2275230605447052;	940339
0.2275230605447052;	0.23627394748873232;	920771
0.23627394748873232;	0.24502483443275946;	897632
0.24502483443275946;	0.25377572137678656;	878140
0.25377572137678656;	0.2625266083208137;	860470
0.2625266083208137;	0.2712774952648408;	840002
0.2712774952648408;	0.28002838220886794;	818034
0.28002838220886794;	0.2887792691528951;	797726
0.2887792691528951;	0.2975301560969222;	777519
0.2975301560969222;	0.30628104304094933;	757971
0.30628104304094933;	0.3150319299849764;	736812
0.3150319299849764;	0.32378281692900357;	719160
0.32378281692900357;	0.33253370387303066;	698987
0.33253370387303066;	0.3412845908170578;	678659
0.3412845908170578;	0.3500354777610849;	662937
0.3500354777610849;	0.35878636470511205;	642795
0.35878636470511205;	0.3675372516491392;	626022
0.3675372516491392;	0.3762881385931663;	609633
0.3762881385931663;	0.38503902553719344;	590168
0.38503902553719344;	0.3937899124812205;	576247
0.3937899124812205;	0.4025407994252477;	558783
0.4025407994252477;	0.41129168636927477;	544368
0.41129168636927477;	0.4200425733133019;	528823
0.4200425733133019;	0.42879346025732906;	514515
0.42879346025732906;	0.43754434720135615;	501724
0.43754434720135615;	0.4462952341453833;	486351
0.4462952341453833;	0.4550461210894104;	473091
0.4550461210894104;	0.46379700803343754;	460886
0.46379700803343754;	0.47254789497746463;	446776
0.47254789497746463;	0.4812987819214918;	435431
0.4812987819214918;	0.49004966886551893;	423359
0.49004966886551893;	0.498800555809546;	410759
0.498800555809546;	0.5075514427535731;	401019
0.5075514427535731;	0.5163023296976003;	390045
0.5163023296976003;	0.5250532166416274;	379627
0.5250532166416274;	0.5338041035856546;	369662
0.5338041035856546;	0.5425549905296816;	359825
0.5425549905296816;	0.5513058774737087;	350705
0.5513058774737087;	0.5600567644177359;	340160
0.5600567644177359;	0.568807651361763;	331512
0.568807651361763;	0.5775585383057902;	322645
0.5775585383057902;	0.5863094252498172;	315310
0.5863094252498172;	0.5950603121938444;	305808
0.5950603121938444;	0.6038111991378715;	298932
0.6038111991378715;	0.6125620860818987;	290660
0.6125620860818987;	0.6213129730259257;	284162
0.6213129730259257;	0.6300638599699528;	276253
0.6300638599699528;	0.63881474691398;	269137
0.63881474691398;	0.6475656338580071;	262827
0.6475656338580071;	0.6563165208020343;	256851
0.6563165208020343;	0.6650674077460613;	249679
0.6650674077460613;	0.6738182946900885;	243621
0.6738182946900885;	0.6825691816341156;	238654
0.6825691816341156;	0.6913200685781428;	232563
0.6913200685781428;	0.7000709555221698;	226701
0.7000709555221698;	0.708821842466197;	220780
0.708821842466197;	0.7175727294102241;	216069
0.7175727294102241;	0.7263236163542512;	210150
0.7263236163542512;	0.7350745032982784;	205756
0.7350745032982784;	0.7438253902423054;	200555
0.7438253902423054;	0.7525762771863326;	196250
0.7525762771863326;	0.7613271641303597;	192763
0.7613271641303597;	0.7700780510743869;	187920
0.7700780510743869;	0.778828938018414;	183527
0.778828938018414;	0.787579824962441;	179314
