# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=427
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	3.7326439732593037;	0.9698459407651664;
-2212;	0.938;	-1;	2.775582132421233;	0.9473638602471688;
-2212;	0.938;	-1;	3.8456852860334267;	0.9715187116019212;
-2212;	0.938;	-1;	1.6157934620380787;	0.8648360445657258;
-2212;	0.938;	-1;	6.478508614166072;	0.9896804152344947;
-2212;	0.938;	-1;	3.622412566425862;	0.9680711264037035;
-2212;	0.938;	-1;	8.91215851869389;	0.9945068695863212;
-2212;	0.938;	-1;	2.6724750709409806;	0.9435680504381213;
-2212;	0.938;	-1;	3.6118300836164763;	0.9678926800879444;
-2212;	0.938;	-1;	1.3986073320374808;	0.8305136718807129;
-2212;	0.938;	-1;	1.4929168052473654;	0.8467399893384081;
-2212;	0.938;	-1;	6.409667925571028;	0.9894610682087318;
-2212;	0.938;	-1;	3.249465922032727;	0.9607720752336631;
-2212;	0.938;	-1;	3.326072032494787;	0.9624589654996615;
-2212;	0.938;	-1;	1.3801800981710648;	0.8270720567919143;
-2212;	0.938;	-1;	2.2665631345965194;	0.9240007283326063;
-2212;	0.938;	-1;	4.3766199258722756;	0.9777954161521539;
-2212;	0.938;	-1;	4.685092660287094;	0.9805411536782783;
-2212;	0.938;	-1;	2.1181066920115237;	0.9143523748779186;
-2212;	0.938;	-1;	3.046151083369646;	0.9557152490816513;
-2212;	0.938;	-1;	1.0091841650744873;	0.732467540343703;
-2212;	0.938;	-1;	5.015826968879708;	0.982959666145841;
-2212;	0.938;	-1;	5.280203463916234;	0.9845850846839406;
-2212;	0.938;	-1;	3.5305827728152757;	0.9664722920320749;
-2212;	0.938;	-1;	1.4215690101549767;	0.8346729832563159;
-2212;	0.938;	-1;	1.4735213218182492;	0.8435824904545393;
-2212;	0.938;	-1;	5.286260396162206;	0.9846195785782387;
-2212;	0.938;	-1;	3.311602981112017;	0.9621486321332238;
-2212;	0.938;	-1;	4.230937556963114;	0.9762948502463007;
-2212;	0.938;	-1;	4.777452603955899;	0.9812654505975691;
-2212;	0.938;	-1;	1.3587519479191188;	0.8229495326114449;
-2212;	0.938;	-1;	1.928121932587252;	0.8992360546027024;
-2212;	0.938;	-1;	5.762969338879567;	0.9870115555721151;
-2212;	0.938;	-1;	4.2344403001738025;	0.9763326712717846;
